"date","month","day","quarter","week","am6","am7","am8","am9","am10","am11","pm12","pm1","pm2","pm3","pm4","pm5","pm6","pm7","pm8","pm9","pm10","pm11","total","weekend","covid","closed","day_after_closed","finals_week","dead_week"
2015-01-05,"January","Monday","Winter",1,223,190,343,427,417,549,509,613,525,597,545,647,596,481,430,244,97,23,7457,0,0,0,0,0,0
2015-01-06,"January","Tuesday","Winter",1,128,125,261,443,404,509,533,585,447,576,581,638,630,570,411,235,78,11,7165,0,0,0,0,0,0
2015-01-07,"January","Wednesday","Winter",1,209,161,299,309,387,498,450,541,407,488,510,651,618,485,369,186,111,21,6700,0,0,0,0,0,0
2015-01-08,"January","Thursday","Winter",1,196,110,211,312,345,488,348,463,322,444,541,520,407,394,233,217,105,26,5682,0,0,0,0,0,0
2015-01-09,"January","Friday","Winter",1,104,73,102,187,259,403,410,378,363,464,578,578,329,255,175,118,66,14,4859,0,0,0,0,0,0
2015-01-10,"January","Saturday","Winter",1,0,0,0,16,218,210,256,225,275,347,336,395,248,145,134,108,64,14,2991,1,0,0,0,0,0
2015-01-11,"January","Sunday","Winter",1,0,0,0,4,156,183,188,222,239,264,298,424,386,278,229,165,71,12,3119,1,0,0,0,0,0
2015-01-12,"January","Monday","Winter",2,245,156,298,349,322,477,467,494,240,23,22,16,2,4,6,120,99,14,3354,0,0,0,0,0,0
2015-01-13,"January","Tuesday","Winter",2,115,71,166,225,285,396,331,319,300,368,450,545,585,563,475,274,135,23,5626,0,0,0,0,0,0
2015-01-14,"January","Wednesday","Winter",2,223,174,267,363,290,379,377,424,410,426,465,550,547,470,468,230,142,33,6239,0,0,0,0,0,0
2015-01-15,"January","Thursday","Winter",2,200,92,208,284,278,395,319,375,274,378,482,607,514,462,389,239,155,20,5686,0,0,0,0,0,0
2015-01-16,"January","Friday","Winter",2,128,92,115,184,234,342,316,235,344,395,428,360,337,187,129,114,59,13,4012,0,0,0,0,0,0
2015-01-17,"January","Saturday","Winter",2,0,0,0,0,215,185,204,265,245,322,266,276,254,159,128,106,70,12,2707,1,0,0,0,0,0
2015-01-18,"January","Sunday","Winter",2,0,0,0,1,192,225,133,158,142,237,275,253,237,233,154,112,54,9,2415,1,0,0,0,0,0
2015-01-19,"January","Monday","Winter",3,0,0,0,8,302,200,244,206,269,305,314,410,418,166,0,0,0,0,2842,0,0,0,0,0,0
