"date","day","nonmembers","faculty_staff","community_members","alumni","students","pe_staff","student_offterm","other","total","weekend","covid","closed","day_after_closed","finals_week","dead_week"
"2015-01-05","Monday",7,2,22,34,6796,79,0,0,6940,0,0,0,0,0,0
"2015-01-06","Tuesday",10,2,35,29,6181,447,0,0,6704,0,0,0,0,0,0
"2015-01-07","Wednesday",15,68,45,34,5843,204,0,0,6209,0,0,0,0,0,0
"2015-01-08","Thursday",9,1,46,25,5097,19,0,0,5197,0,0,0,0,0,0
"2015-01-09","Friday",13,0,45,30,4219,117,0,0,4424,0,0,0,0,0,0
"2015-01-10","Saturday",8,0,30,19,2715,3,0,0,2775,1,0,0,0,0,0
"2015-01-11","Sunday",8,0,40,19,2843,6,0,0,2916,1,0,0,0,0,0
"2015-01-12","Monday",5,0,23,27,2980,22,0,0,3057,0,0,0,0,0,0
"2015-01-13","Tuesday",8,6,42,28,4988,41,0,0,5113,0,0,0,0,0,0
"2015-01-14","Wednesday",9,0,44,39,5606,25,0,1,5724,0,0,0,0,0,0
"2015-01-15","Thursday",14,0,45,28,5046,18,0,1,5152,0,0,0,0,0,0
"2015-01-16","Friday",13,1,61,34,3496,12,0,0,3617,0,0,0,0,0,0
"2015-01-17","Saturday",6,0,29,19,2441,1,0,0,2496,1,0,0,0,0,0
"2015-01-18","Sunday",3,1,26,22,2174,1,0,0,2227,1,0,0,0,0,0
"2015-01-19","Monday",10,0,32,26,2526,1,0,0,2595,0,0,0,0,0,0
"2015-01-20","Tuesday",14,1,63,44,5376,19,0,2,5519,0,0,0,0,0,0
"2015-01-21","Wednesday",9,0,55,46,5322,18,0,2,5452,0,0,0,0,0,0
"2015-01-22","Thursday",7,0,54,33,5278,16,0,2,5390,0,0,0,0,0,0
"2015-01-23","Friday",12,0,47,28,4062,9,0,2,4160,0,0,0,0,0,0
"2015-01-24","Saturday",2,0,36,26,2551,1,0,0,2616,1,0,0,0,0,0
"2015-01-25","Sunday",6,0,35,14,2216,3,0,0,2274,1,0,0,0,0,0
"2015-01-26","Monday",14,0,58,44,5153,16,0,4,5289,0,0,0,0,0,0
"2015-01-27","Tuesday",6,0,70,45,4831,14,0,2,4968,0,0,0,0,0,0
"2015-01-28","Wednesday",11,0,67,39,5005,14,0,5,5141,0,0,0,0,0,0
"2015-01-29","Thursday",12,0,57,33,4782,9,0,2,4895,0,0,0,0,0,0
"2015-01-30","Friday",11,0,55,37,3441,7,0,1,3552,0,0,0,0,0,0
"2015-01-31","Saturday",8,0,39,22,2348,1,0,0,2418,1,0,0,0,0,0
"2015-02-01","Sunday",5,0,26,21,1670,3,0,0,1725,1,0,0,0,0,0
"2015-02-02","Monday",15,0,68,42,5172,17,0,4,5318,0,0,0,0,0,0
"2015-02-03","Tuesday",10,0,54,40,4974,21,0,3,5102,0,0,0,0,0,0
"2015-02-04","Wednesday",8,0,60,30,4963,14,0,2,5077,0,0,0,0,0,0
"2015-02-05","Thursday",11,0,65,27,4672,16,0,2,4793,0,0,0,0,0,0
"2015-02-06","Friday",9,0,50,44,3476,11,0,2,3592,0,0,0,0,0,0
"2015-02-07","Saturday",5,0,45,20,2484,2,0,0,2556,1,0,0,0,0,0
"2015-02-08","Sunday",13,0,39,30,2078,1,0,0,2161,1,0,0,0,0,0
"2015-02-09","Monday",9,0,63,50,4916,9,0,1,5048,0,0,0,0,0,0
"2015-02-10","Tuesday",8,0,62,40,5086,6,0,3,5205,0,0,0,0,0,0
"2015-02-11","Wednesday",6,1,65,46,5066,16,0,4,5204,0,0,0,0,0,0
"2015-02-12","Thursday",12,0,65,37,4615,7,0,3,4739,0,0,0,0,0,0
"2015-02-13","Friday",12,0,44,33,3158,36,0,0,3283,0,0,0,0,0,0
"2015-02-14","Saturday",3,0,29,28,1716,5,0,0,1781,1,0,0,0,0,0
"2015-02-15","Sunday",5,0,29,23,1810,1,0,0,1868,1,0,0,0,0,0
"2015-02-16","Monday",9,0,72,41,5059,16,0,3,5200,0,0,0,0,0,0
"2015-02-17","Tuesday",1,0,61,44,4745,11,0,2,4864,0,0,0,0,0,0
"2015-02-18","Wednesday",6,1,67,38,4575,273,0,4,4964,0,0,0,0,0,0
"2015-02-19","Thursday",6,0,62,32,4296,12,0,2,4410,0,0,0,0,0,0
"2015-02-20","Friday",11,0,57,33,3060,4,0,1,3166,0,0,0,0,0,0
"2015-02-21","Saturday",3,0,43,27,1952,1,0,0,2026,1,0,0,0,0,0
"2015-02-22","Sunday",4,0,32,22,2081,0,0,0,2139,1,0,0,0,0,0
"2015-02-23","Monday",12,0,70,37,4881,8,0,1,5009,0,0,0,0,0,0
"2015-02-24","Tuesday",5,0,70,42,4807,9,0,3,4936,0,0,0,0,0,0
"2015-02-25","Wednesday",5,0,74,46,4335,7,0,2,4469,0,0,0,0,0,0
"2015-02-26","Thursday",4,0,71,42,4306,9,0,1,4433,0,0,0,0,0,0
"2015-02-27","Friday",7,1,51,26,3092,5,0,1,3183,0,0,0,0,0,0
"2015-02-28","Saturday",4,0,39,23,2161,1,0,0,2228,1,0,0,0,0,0
"2015-03-01","Sunday",4,0,37,23,2063,0,0,0,2127,1,0,0,0,0,0
"2015-03-02","Monday",16,0,58,48,4764,69,0,2,4957,0,0,0,0,0,0
"2015-03-03","Tuesday",6,0,66,38,4335,7,0,2,4454,0,0,0,0,0,0
"2015-03-04","Wednesday",5,0,63,41,4373,6,0,2,4490,0,0,0,0,0,0
"2015-03-05","Thursday",4,0,67,32,4218,3,0,4,4328,0,0,0,0,0,0
"2015-03-06","Friday",6,0,39,35,2954,7,0,2,3043,0,0,0,0,0,0
"2015-03-07","Saturday",6,0,36,16,2047,0,0,0,2105,1,0,0,0,0,0
"2015-03-08","Sunday",4,0,40,21,1986,0,0,0,2051,1,0,0,0,0,0
"2015-03-09","Monday",8,0,64,30,4741,8,0,4,4855,0,0,0,0,0,1
"2015-03-10","Tuesday",8,0,62,39,4463,4,0,3,4579,0,0,0,0,0,1
"2015-03-11","Wednesday",8,0,55,38,4382,7,0,4,4494,0,0,0,0,0,1
"2015-03-12","Thursday",6,0,43,27,3976,28,0,1,4081,0,0,0,0,0,1
"2015-03-13","Friday",8,0,47,33,3060,1,0,3,3152,0,0,0,0,0,1
"2015-03-14","Saturday",1,0,34,16,2243,3,0,0,2297,1,0,0,0,0,1
"2015-03-15","Sunday",3,0,40,32,2313,3,0,0,2391,1,0,0,0,0,1
"2015-03-16","Monday",12,0,57,31,2827,3,0,3,2933,0,0,0,0,1,0
"2015-03-17","Tuesday",7,0,44,34,2527,7,0,0,2619,0,0,0,0,1,0
"2015-03-18","Wednesday",11,0,35,30,2095,6,0,0,2177,0,0,0,0,1,0
"2015-03-19","Thursday",5,0,21,22,1196,7,0,0,1251,0,0,0,0,1,0
"2015-03-20","Friday",5,0,27,25,858,2,0,1,918,0,0,0,0,1,0
"2015-03-21","Saturday",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"2015-03-22","Sunday",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"2015-03-23","Monday",8,0,31,22,723,7,0,2,793,0,0,0,1,0,0
"2015-03-24","Tuesday",6,0,22,26,696,2,0,0,752,0,0,0,0,0,0
"2015-03-25","Wednesday",5,0,14,24,636,6,0,0,685,0,0,0,0,0,0
"2015-03-26","Thursday",1,0,17,17,573,4,0,0,612,0,0,0,0,0,0
"2015-03-27","Friday",10,0,17,22,590,5,0,0,644,0,0,0,0,0,0
"2015-03-28","Saturday",0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
"2015-03-29","Sunday",0,0,10,11,876,1,0,0,898,1,0,0,1,0,0
"2015-03-30","Monday",11,0,54,31,5512,16,0,0,5624,0,0,0,0,0,0
"2015-03-31","Tuesday",14,0,54,32,5654,17,0,1,5772,0,0,0,0,0,0
"2015-04-01","Wednesday",11,0,55,38,5399,5,0,0,5508,0,0,0,0,0,0
"2015-04-02","Thursday",9,0,50,32,4959,5,0,1,5056,0,0,0,0,0,0
"2015-04-03","Friday",13,0,52,30,3043,2,0,1,3141,0,0,0,0,0,0
"2015-04-04","Saturday",5,0,33,16,2017,1,0,0,2072,1,0,0,0,0,0
"2015-04-05","Sunday",2,0,37,26,2060,3,0,0,2128,1,0,0,0,0,0
"2015-04-06","Monday",7,0,86,38,5525,16,0,1,5673,0,0,0,0,0,0
"2015-04-07","Tuesday",15,0,70,42,5701,16,0,1,5845,0,0,0,0,0,0
"2015-04-08","Wednesday",3,0,74,37,5712,10,0,0,5836,0,0,0,0,0,0
"2015-04-09","Thursday",10,0,70,29,5087,5,0,3,5204,0,0,0,0,0,0
"2015-04-10","Friday",11,0,44,31,3379,3,0,2,3470,0,0,0,0,0,0
"2015-04-11","Saturday",5,0,36,18,2242,1,0,0,2302,1,0,0,0,0,0
"2015-04-12","Sunday",3,0,32,22,2099,0,0,0,2156,1,0,0,0,0,0
"2015-04-13","Monday",7,0,71,36,5138,11,0,1,5264,0,0,0,0,0,0
"2015-04-14","Tuesday",25,0,65,42,5493,10,0,2,5637,0,0,0,0,0,0
"2015-04-15","Wednesday",6,0,74,30,5075,13,0,0,5198,0,0,0,0,0,0
"2015-04-16","Thursday",11,0,48,25,4640,11,0,3,4738,0,0,0,0,0,0
"2015-04-17","Friday",11,0,42,26,2941,6,0,2,3028,0,0,0,0,0,0
"2015-04-18","Saturday",2,0,20,11,1888,2,0,0,1923,1,0,0,0,0,0
"2015-04-19","Sunday",6,0,31,14,1902,2,0,0,1955,1,0,0,0,0,0
"2015-04-20","Monday",7,0,56,40,4439,13,0,1,4556,0,0,0,0,0,0
"2015-04-21","Tuesday",21,0,71,30,4899,9,0,3,5033,0,0,0,0,0,0
"2015-04-22","Wednesday",10,1,73,41,4638,10,0,0,4773,0,0,0,0,0,0
"2015-04-23","Thursday",15,0,63,31,4495,7,0,6,4617,0,0,0,0,0,0
"2015-04-24","Friday",14,0,37,30,3174,6,0,3,3264,0,0,0,0,0,0
"2015-04-25","Saturday",6,0,47,17,2306,3,0,0,2379,1,0,0,0,0,0
"2015-04-26","Sunday",3,0,38,22,2097,1,0,0,2161,1,0,0,0,0,0
"2015-04-27","Monday",5,0,69,46,4771,7,0,1,4899,0,0,0,0,0,0
"2015-04-28","Tuesday",20,0,63,34,4859,12,0,3,4991,0,0,0,0,0,0
"2015-04-29","Wednesday",8,0,63,35,4696,11,0,0,4813,0,0,0,0,0,0
"2015-04-30","Thursday",7,0,64,38,4307,7,0,3,4426,0,0,0,0,0,0
"2015-05-01","Friday",13,0,44,31,2731,2,0,1,2822,0,0,0,0,0,0
"2015-05-02","Saturday",4,0,22,13,1344,0,0,0,1383,1,0,0,0,0,0
"2015-05-03","Sunday",2,0,38,16,2064,0,0,0,2120,1,0,0,0,0,0
"2015-05-04","Monday",7,0,65,45,4653,8,0,1,4779,0,0,0,0,0,0
"2015-05-05","Tuesday",11,0,62,31,4589,5,0,4,4702,0,0,0,0,0,0
"2015-05-06","Wednesday",9,0,65,36,4303,6,0,0,4419,0,0,0,0,0,0
"2015-05-07","Thursday",9,0,60,33,4392,7,0,4,4505,0,0,0,0,0,0
