Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, May 31, 2015 12:00 AM to Sat, Jun 6, 2015 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
6:00AM - 6:59AM,0,150,92,156,68,48,0,514
7:00AM - 7:59AM,0,101,58,87,65,53,0,364
8:00AM - 8:59AM,7,156,191,164,188,114,0,820
9:00AM - 9:59AM,0,306,292,277,255,157,0,1287
10:00AM - 10:59AM,128,255,258,258,221,184,185,1489
11:00AM - 11:59AM,131,310,342,281,320,261,130,1775
12:00PM - 12:59PM,132,310,315,293,308,216,111,1685
1:00PM - 1:59PM,140,334,376,336,361,193,97,1837
2:00PM - 2:59PM,153,284,265,245,285,186,99,1517
3:00PM - 3:59PM,178,333,332,310,314,230,129,1826
4:00PM - 4:59PM,206,357,370,382,321,251,174,2061
5:00PM - 5:59PM,183,379,385,363,298,253,141,2002
6:00PM - 6:59PM,212,356,357,339,228,192,139,1823
7:00PM - 7:59PM,193,282,323,280,201,151,97,1527
8:00PM - 8:59PM,165,304,275,264,182,161,123,1474
9:00PM - 9:59PM,143,238,224,235,240,91,120,1291
10:00PM - 10:59PM,124,162,179,193,99,40,68,865
11:00PM - 11:59PM,26,34,19,28,0,0,14,121
Totals:,2121,4651,4653,4491,3954,2781,1627,24278
"Mon, Feb 17 2025 10:00A",,,,,,,,Page: 1/1
