Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Aug 16, 2015 12:00 AM to Sat, Aug 22, 2015 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
6:00AM - 6:59AM,0,23,29,22,23,19,0,116
7:00AM - 7:59AM,0,25,34,21,25,24,0,129
8:00AM - 8:59AM,0,28,26,33,26,23,0,136
9:00AM - 9:59AM,0,34,44,43,36,46,0,203
10:00AM - 10:59AM,0,80,58,42,54,52,0,286
11:00AM - 11:59AM,0,95,64,109,86,85,0,439
12:00PM - 12:59PM,74,105,96,100,78,100,0,553
1:00PM - 1:59PM,55,72,56,96,76,67,0,422
2:00PM - 2:59PM,66,77,74,71,80,78,0,446
3:00PM - 3:59PM,79,97,101,106,82,73,0,538
4:00PM - 4:59PM,70,133,134,120,110,114,0,681
5:00PM - 5:59PM,65,174,173,174,162,132,0,880
6:00PM - 6:59PM,73,166,146,134,136,97,0,752
7:00PM - 7:59PM,12,44,23,43,24,24,0,170
Totals:,494,1153,1058,1114,998,934,0,5751
"Mon, Feb 17 2025 10:11A",,,,,,,,Page: 1/1
