Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Aug 30, 2015 12:00 AM to Sat, Sep 5, 2015 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
9:00AM - 9:59AM,0,7,0,0,9,0,0,16
10:00AM - 10:59AM,0,69,68,79,54,60,0,330
11:00AM - 11:59AM,0,87,70,79,64,66,0,366
12:00PM - 12:59PM,0,88,91,80,73,66,0,398
1:00PM - 1:59PM,0,66,77,73,62,62,0,340
2:00PM - 2:59PM,0,71,53,70,68,46,0,308
3:00PM - 3:59PM,0,114,81,101,50,55,0,401
4:00PM - 4:59PM,0,106,89,119,90,66,0,470
5:00PM - 5:59PM,0,183,133,114,110,89,0,629
6:00PM - 6:59PM,0,132,110,106,96,55,0,499
7:00PM - 7:59PM,0,52,48,42,48,22,0,212
8:00PM - 8:59PM,0,24,26,21,29,0,0,100
9:00PM - 9:59PM,0,5,3,9,6,0,0,23
Totals:,0,1004,849,893,759,587,0,4092
"Mon, Feb 17 2025 10:13A",,,,,,,,Page: 1/1
