Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Sep 6, 2015 12:00 AM to Sat, Sep 12, 2015 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
9:00AM - 9:59AM,0,0,0,0,0,7,0,7
10:00AM - 10:59AM,0,0,117,73,83,90,0,363
11:00AM - 11:59AM,0,0,77,109,54,72,0,312
12:00PM - 12:59PM,0,0,97,90,87,88,0,362
1:00PM - 1:59PM,0,0,89,68,71,52,0,280
2:00PM - 2:59PM,0,0,60,85,72,57,4,278
3:00PM - 3:59PM,0,0,91,90,82,72,0,335
4:00PM - 4:59PM,0,0,105,116,67,111,0,399
5:00PM - 5:59PM,0,0,150,162,114,128,0,554
6:00PM - 6:59PM,0,0,130,90,92,88,0,400
7:00PM - 7:59PM,0,0,71,62,27,24,0,184
8:00PM - 8:59PM,0,0,38,34,25,0,0,97
9:00PM - 9:59PM,0,0,5,18,9,0,0,32
Totals:,0,0,1030,997,783,789,4,3603
"Mon, Feb 17 2025 10:14A",,,,,,,,Page: 1/1
