Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Dec 27, 2015 12:00 AM to Sat, Jan 2, 2016 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
9:00AM - 9:59AM,0,0,11,4,0,0,0,15
10:00AM - 10:59AM,0,91,62,80,0,0,0,233
11:00AM - 11:59AM,0,71,54,75,0,0,0,200
12:00PM - 12:59PM,0,71,51,51,0,0,0,173
1:00PM - 1:59PM,0,64,57,53,0,0,0,174
2:00PM - 2:59PM,0,71,55,52,0,0,0,178
3:00PM - 3:59PM,0,98,94,78,0,0,0,270
4:00PM - 4:59PM,0,82,90,100,0,0,0,272
5:00PM - 5:59PM,0,158,117,136,0,0,0,411
6:00PM - 6:59PM,0,78,75,78,0,0,0,231
7:00PM - 7:59PM,0,20,12,12,0,0,0,44
Totals:,0,804,678,719,0,0,0,2201
"Mon, Feb 17 2025 10:35A",,,,,,,,Page: 1/1
