Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Feb 22, 2015 12:00 AM to Sat, Feb 28, 2015 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
6:00AM - 6:59AM,0,118,127,113,197,79,0,634
7:00AM - 7:59AM,1,113,129,107,133,69,0,552
8:00AM - 8:59AM,0,212,182,220,163,95,0,872
9:00AM - 9:59AM,0,268,261,272,229,173,0,1203
10:00AM - 10:59AM,194,274,284,264,258,229,236,1739
11:00AM - 11:59AM,155,338,365,296,348,276,246,2024
12:00PM - 12:59PM,152,368,293,343,312,244,230,1942
1:00PM - 1:59PM,144,393,337,357,284,227,193,1935
2:00PM - 2:59PM,207,300,272,325,249,294,182,1829
3:00PM - 3:59PM,197,384,399,358,320,304,221,2183
4:00PM - 4:59PM,202,431,476,377,391,360,222,2459
5:00PM - 5:59PM,208,481,513,435,476,404,204,2721
6:00PM - 6:59PM,200,525,508,465,476,265,213,2652
7:00PM - 7:59PM,192,513,427,311,387,187,160,2177
8:00PM - 8:59PM,204,362,380,358,332,125,109,1870
9:00PM - 9:59PM,114,288,318,208,170,84,92,1274
10:00PM - 10:59PM,68,161,170,148,151,91,72,861
11:00PM - 11:59PM,9,28,26,36,20,10,19,148
Totals:,2247,5557,5467,4993,4896,3516,2399,29075
"Mon, Feb 17 2025 10:10A",,,,,,,,Page: 1/1
