Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Dec 18, 2016 12:00 AM to Sat, Dec 24, 2016 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
9:00AM - 9:59AM,0,0,0,5,0,5,0,10
10:00AM - 10:59AM,0,77,57,63,52,46,0,295
11:00AM - 11:59AM,0,94,65,66,52,51,0,328
12:00PM - 12:59PM,0,116,80,62,57,56,0,371
1:00PM - 1:59PM,0,44,69,50,44,26,0,233
2:00PM - 2:59PM,0,54,54,49,40,44,0,241
3:00PM - 3:59PM,0,91,75,48,49,42,0,305
4:00PM - 4:59PM,0,107,105,77,71,62,0,422
5:00PM - 5:59PM,0,180,146,113,86,57,0,582
6:00PM - 6:59PM,0,125,106,76,65,44,0,416
7:00PM - 7:59PM,0,30,28,15,19,6,0,98
Totals:,0,918,785,624,535,439,0,3301
"Mon, Feb 17 2025 11:07A",,,,,,,,Page: 1/1
