Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Jan 8, 2017 12:00 AM to Sat, Jan 14, 2017 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,0,2,2,0,0,0,4
6:00AM - 6:59AM,0,38,118,195,180,88,0,619
7:00AM - 7:59AM,0,32,126,161,118,57,0,494
8:00AM - 8:59AM,0,69,280,311,254,134,0,1048
9:00AM - 9:59AM,0,170,364,413,325,138,0,1410
10:00AM - 10:59AM,0,209,377,388,328,229,209,1740
11:00AM - 11:59AM,0,379,493,460,517,337,186,2372
12:00PM - 12:59PM,0,446,351,369,321,290,255,2032
1:00PM - 1:59PM,0,301,437,471,366,274,216,2065
2:00PM - 2:59PM,0,347,330,373,277,352,292,1971
3:00PM - 3:59PM,0,371,585,372,476,399,274,2477
4:00PM - 4:59PM,0,403,596,471,522,506,237,2735
5:00PM - 5:59PM,0,360,547,702,520,407,223,2759
6:00PM - 6:59PM,755,295,632,625,505,316,204,3332
7:00PM - 7:59PM,230,251,524,448,417,203,123,2196
8:00PM - 8:59PM,109,173,348,287,314,153,72,1456
9:00PM - 9:59PM,36,128,190,187,160,89,58,848
10:00PM - 10:59PM,0,81,75,69,81,52,47,405
11:00PM - 11:59PM,0,8,7,17,20,6,4,62
Totals:,1130,4061,6382,6321,5701,4030,2400,30025
"Mon, Feb 17 2025 11:12A",,,,,,,,Page: 1/1
