Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Oct 29, 2017 12:00 AM to Sat, Nov 4, 2017 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,1,1,1,0,0,0,3
6:00AM - 6:59AM,0,195,142,81,119,70,0,607
7:00AM - 7:59AM,0,111,83,79,79,93,0,445
8:00AM - 8:59AM,0,195,193,178,178,92,0,836
9:00AM - 9:59AM,0,313,291,275,292,93,0,1264
10:00AM - 10:59AM,96,273,234,213,273,208,212,1509
11:00AM - 11:59AM,79,327,365,312,324,245,164,1816
12:00PM - 12:59PM,100,275,264,232,249,176,124,1420
1:00PM - 1:59PM,116,323,294,324,283,194,175,1709
2:00PM - 2:59PM,152,308,235,275,225,263,160,1618
3:00PM - 3:59PM,138,278,415,314,324,256,174,1899
4:00PM - 4:59PM,184,282,376,330,392,270,185,2019
5:00PM - 5:59PM,216,463,333,459,436,330,237,2474
6:00PM - 6:59PM,205,498,349,391,366,223,123,2155
7:00PM - 7:59PM,130,354,288,344,330,163,117,1726
8:00PM - 8:59PM,114,294,193,317,189,129,91,1327
9:00PM - 9:59PM,97,230,112,264,151,95,58,1007
10:00PM - 10:59PM,58,121,58,120,105,59,61,582
11:00PM - 11:59PM,20,23,15,15,20,13,13,119
Totals:,1705,4864,4241,4524,4335,2972,1894,24535
"Mon, Feb 17 2025 11:34A",,,,,,,,Page: 1/1
