Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Apr 29, 2018 12:00 AM to Sat, May 5, 2018 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,2,5,1,0,0,0,8
6:00AM - 6:59AM,0,138,106,120,109,62,0,535
7:00AM - 7:59AM,0,118,97,135,108,71,0,529
8:00AM - 8:59AM,0,248,238,223,177,88,0,974
9:00AM - 9:59AM,0,355,292,341,315,140,0,1443
10:00AM - 10:59AM,174,263,302,304,293,202,231,1769
11:00AM - 11:59AM,165,429,356,376,335,236,139,2036
12:00PM - 12:59PM,91,283,308,325,322,264,145,1738
1:00PM - 1:59PM,147,377,360,368,341,194,161,1948
2:00PM - 2:59PM,165,333,251,288,280,262,113,1692
3:00PM - 3:59PM,191,360,397,344,311,256,81,1940
4:00PM - 4:59PM,192,438,353,446,327,264,129,2149
5:00PM - 5:59PM,220,451,447,447,371,246,104,2286
6:00PM - 6:59PM,225,433,383,413,291,247,102,2094
7:00PM - 7:59PM,163,428,311,288,287,156,76,1709
8:00PM - 8:59PM,158,378,253,256,236,125,93,1499
9:00PM - 9:59PM,134,237,231,192,169,119,95,1177
10:00PM - 10:59PM,80,164,115,120,81,61,47,668
11:00PM - 11:59PM,19,14,20,24,17,23,14,131
Totals:,2124,5449,4825,5011,4370,3016,1530,26325
"Wed, Feb 26 2025 2:52P",,,,,,,,Page: 1/1
