Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Jul 29, 2018 12:00 AM to Sat, Aug 4, 2018 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
6:00AM - 6:59AM,0,41,44,45,47,26,0,203
7:00AM - 7:59AM,0,39,39,41,39,29,0,187
8:00AM - 8:59AM,0,55,69,49,51,31,0,255
9:00AM - 9:59AM,0,48,60,58,63,45,0,274
10:00AM - 10:59AM,0,71,97,71,59,72,0,370
11:00AM - 11:59AM,0,193,128,106,94,106,0,627
12:00PM - 12:59PM,96,136,115,99,91,79,122,738
1:00PM - 1:59PM,53,74,95,75,84,94,56,531
2:00PM - 2:59PM,77,83,89,81,69,66,52,517
3:00PM - 3:59PM,65,111,115,100,90,84,59,624
4:00PM - 4:59PM,49,147,156,161,119,101,69,802
5:00PM - 5:59PM,69,243,223,189,220,137,54,1135
6:00PM - 6:59PM,67,159,161,150,154,124,65,880
7:00PM - 7:59PM,20,45,33,49,36,47,21,251
Totals:,496,1445,1424,1274,1216,1041,498,7394
"Wed, Feb 26 2025 2:34P",,,,,,,,Page: 1/1
