Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Jan 28, 2018 12:00 AM to Sat, Feb 3, 2018 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,0,1,0,6,2,0,9
6:00AM - 6:59AM,0,216,186,161,200,98,0,861
7:00AM - 7:59AM,0,173,137,113,124,101,0,648
8:00AM - 8:59AM,0,235,257,224,223,108,0,1047
9:00AM - 9:59AM,16,364,370,331,304,129,2,1516
10:00AM - 10:59AM,174,312,288,288,266,240,205,1773
11:00AM - 11:59AM,189,410,449,406,412,353,187,2406
12:00PM - 12:59PM,182,307,331,304,297,268,208,1897
1:00PM - 1:59PM,232,375,389,370,375,250,280,2271
2:00PM - 2:59PM,250,294,264,303,230,252,247,1840
3:00PM - 3:59PM,262,325,425,353,342,263,269,2239
4:00PM - 4:59PM,235,425,388,384,410,294,264,2400
5:00PM - 5:59PM,318,493,645,530,525,319,264,3094
6:00PM - 6:59PM,254,555,506,525,442,236,271,2789
7:00PM - 7:59PM,220,520,424,470,387,149,192,2362
8:00PM - 8:59PM,213,447,361,433,333,125,120,2032
9:00PM - 9:59PM,168,252,256,299,243,96,124,1438
10:00PM - 10:59PM,71,100,95,108,97,48,37,556
11:00PM - 11:59PM,18,37,25,11,25,12,8,136
Totals:,2802,5840,5797,5613,5241,3343,2678,31314
"Wed, Feb 26 2025 2:36P",,,,,,,,Page: 1/1
