Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Feb 25, 2018 12:00 AM to Sat, Mar 3, 2018 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
6:00AM - 6:59AM,0,131,148,117,189,102,0,687
7:00AM - 7:59AM,0,119,123,99,82,78,0,501
8:00AM - 8:59AM,0,241,224,200,205,98,0,968
9:00AM - 9:59AM,4,339,339,292,268,137,1,1380
10:00AM - 10:59AM,230,297,269,303,285,241,213,1838
11:00AM - 11:59AM,197,428,379,374,392,248,167,2185
12:00PM - 12:59PM,169,313,324,295,341,261,197,1900
1:00PM - 1:59PM,186,371,408,348,363,261,200,2137
2:00PM - 2:59PM,199,339,277,320,279,288,172,1874
3:00PM - 3:59PM,220,398,419,303,347,340,168,2195
4:00PM - 4:59PM,209,329,392,393,375,352,241,2291
5:00PM - 5:59PM,263,515,496,545,396,315,192,2722
6:00PM - 6:59PM,257,510,493,512,453,245,149,2619
7:00PM - 7:59PM,226,490,573,483,386,196,125,2479
8:00PM - 8:59PM,191,354,337,419,245,132,84,1762
9:00PM - 9:59PM,166,257,220,280,227,76,68,1294
10:00PM - 10:59PM,63,112,123,124,109,40,77,648
11:00PM - 11:59PM,12,34,14,29,19,14,16,138
Totals:,2592,5577,5558,5436,4961,3424,2070,29618
"Wed, Feb 26 2025 2:41P",,,,,,,,Page: 1/1
