Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Jun 16, 2019 12:00 AM to Sat, Jun 22, 2019 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
9:00AM - 9:59AM,0,4,0,3,3,4,0,14
10:00AM - 10:59AM,0,82,94,96,95,91,0,458
11:00AM - 11:59AM,1,72,104,103,87,79,0,446
12:00PM - 12:59PM,82,73,88,83,75,57,0,458
1:00PM - 1:59PM,48,44,73,54,52,43,0,314
2:00PM - 2:59PM,40,42,88,59,63,71,0,363
3:00PM - 3:59PM,40,52,71,70,82,82,0,397
4:00PM - 4:59PM,74,54,83,108,102,102,0,523
5:00PM - 5:59PM,46,111,131,129,152,128,0,697
6:00PM - 6:59PM,46,102,120,103,105,87,0,563
7:00PM - 7:59PM,32,22,32,27,27,13,0,153
Totals:,409,658,884,835,843,757,0,4386
"Wed, Feb 26 2025 3:01P",,,,,,,,Page: 1/1
