Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Apr 4, 2021 12:00 AM to Sat, Apr 10, 2021 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,4,0,0,0,0,0,4
6:00AM - 6:59AM,0,54,59,77,47,65,0,302
7:00AM - 7:59AM,0,112,93,138,100,64,0,507
8:00AM - 8:59AM,0,119,106,115,86,78,0,504
9:00AM - 9:59AM,0,127,144,138,146,98,0,653
10:00AM - 10:59AM,97,127,153,110,132,64,127,810
11:00AM - 11:59AM,62,93,83,83,93,93,98,605
12:00PM - 12:59PM,48,173,160,188,137,128,68,902
1:00PM - 1:59PM,65,127,126,114,125,116,73,746
2:00PM - 2:59PM,83,92,106,93,117,79,105,675
3:00PM - 3:59PM,66,113,121,122,142,96,80,740
4:00PM - 4:59PM,91,158,148,155,134,87,80,853
5:00PM - 5:59PM,16,152,176,187,169,107,17,824
6:00PM - 6:59PM,0,158,173,177,135,86,0,729
7:00PM - 7:59PM,0,15,14,21,21,16,0,87
8:00PM - 8:59PM,0,0,0,0,0,2,0,2
Totals:,528,1624,1662,1718,1584,1179,648,8943
"Wed, Feb 26 2025 3:55P",,,,,,,,Page: 1/1
