Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, May 2, 2021 12:00 AM to Sat, May 8, 2021 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
7:00AM - 7:59AM,0,39,24,40,23,0,0,126
8:00AM - 8:59AM,0,26,32,35,22,0,0,115
9:00AM - 9:59AM,11,62,81,64,76,0,0,294
10:00AM - 10:59AM,20,74,90,93,66,4,106,453
11:00AM - 11:59AM,38,42,42,39,45,46,66,318
12:00PM - 12:59PM,36,75,82,74,66,75,59,467
1:00PM - 1:59PM,28,46,42,54,28,93,68,359
2:00PM - 2:59PM,25,43,43,40,43,77,53,324
3:00PM - 3:59PM,32,53,71,60,62,80,63,421
4:00PM - 4:59PM,37,51,48,38,41,105,74,394
5:00PM - 5:59PM,16,29,37,46,37,70,1,236
6:00PM - 6:59PM,0,52,66,41,40,51,0,250
7:00PM - 7:59PM,0,6,9,13,10,21,0,59
8:00PM - 8:59PM,0,0,0,0,0,17,0,17
Totals:,243,598,667,637,559,639,490,3833
"Wed, Feb 26 2025 3:57P",,,,,,,,Page: 1/1
