Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Jul 4, 2021 12:00 AM to Sat, Jul 10, 2021 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
6:00AM - 6:59AM,0,0,20,7,21,14,0,62
7:00AM - 7:59AM,0,0,20,8,11,16,0,55
8:00AM - 8:59AM,0,0,20,27,24,8,0,79
9:00AM - 9:59AM,0,0,21,22,26,18,0,87
10:00AM - 10:59AM,0,0,34,34,25,14,0,107
11:00AM - 11:59AM,0,0,33,21,28,44,0,126
12:00PM - 12:59PM,0,0,24,26,25,23,50,148
1:00PM - 1:59PM,0,0,17,20,21,14,32,104
2:00PM - 2:59PM,0,0,16,26,18,13,34,107
3:00PM - 3:59PM,0,0,30,33,15,27,25,130
4:00PM - 4:59PM,0,0,55,42,41,35,12,185
5:00PM - 5:59PM,0,0,61,53,55,38,0,207
6:00PM - 6:59PM,0,0,34,29,32,27,0,122
7:00PM - 7:59PM,0,0,8,5,10,6,0,29
Totals:,0,0,393,353,352,297,153,1548
"Wed, Feb 26 2025 3:50P",,,,,,,,Page: 1/1
