Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Oct 24, 2021 12:00 AM to Sat, Oct 30, 2021 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,5,0,1,5,0,0,11
6:00AM - 6:59AM,0,90,112,129,55,61,0,447
7:00AM - 7:59AM,0,115,83,99,71,42,0,410
8:00AM - 8:59AM,0,147,127,147,108,81,0,610
9:00AM - 9:59AM,94,179,159,180,123,77,58,870
10:00AM - 10:59AM,83,192,184,210,203,127,45,1044
11:00AM - 11:59AM,56,271,255,264,206,138,51,1241
12:00PM - 12:59PM,86,155,181,149,183,112,43,909
1:00PM - 1:59PM,94,200,185,186,159,161,41,1026
2:00PM - 2:59PM,93,200,193,199,200,168,40,1093
3:00PM - 3:59PM,111,255,242,161,196,221,81,1267
4:00PM - 4:59PM,158,268,244,200,221,170,63,1324
5:00PM - 5:59PM,98,313,326,318,232,142,0,1429
6:00PM - 6:59PM,147,346,386,352,290,123,0,1644
7:00PM - 7:59PM,140,298,261,290,178,67,0,1234
8:00PM - 8:59PM,17,271,196,176,141,23,0,824
9:00PM - 9:59PM,0,135,133,114,102,0,0,484
10:00PM - 10:59PM,0,17,20,19,13,0,0,69
Totals:,1177,3457,3287,3194,2686,1713,422,15936
"Wed, Feb 26 2025 4:05P",,,,,,,,Page: 1/1
