Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Mar 6, 2022 12:00 AM to Sat, Mar 12, 2022 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,0,4,0,0,0,0,4
6:00AM - 6:59AM,0,115,102,117,93,56,0,483
7:00AM - 7:59AM,0,150,142,162,98,63,0,615
8:00AM - 8:59AM,2,168,171,179,144,98,2,764
9:00AM - 9:59AM,96,194,195,135,189,131,147,1087
10:00AM - 10:59AM,90,210,256,153,230,170,99,1208
11:00AM - 11:59AM,129,305,266,306,251,197,111,1565
12:00PM - 12:59PM,120,238,209,238,225,182,153,1365
1:00PM - 1:59PM,145,272,277,250,248,179,152,1523
2:00PM - 2:59PM,212,256,209,242,214,170,192,1495
3:00PM - 3:59PM,206,266,256,234,188,167,166,1483
4:00PM - 4:59PM,199,282,277,291,274,190,135,1648
5:00PM - 5:59PM,205,343,372,357,298,203,127,1905
6:00PM - 6:59PM,185,449,383,398,357,129,119,2020
7:00PM - 7:59PM,134,369,298,283,193,126,108,1511
8:00PM - 8:59PM,36,323,200,217,159,41,37,1013
9:00PM - 9:59PM,0,204,149,139,105,0,0,597
10:00PM - 10:59PM,0,33,21,30,29,0,0,113
Totals:,1759,4177,3787,3731,3295,2102,1548,20399
"Wed, Feb 26 2025 4:17P",,,,,,,,Page: 1/1
