Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Mar 27, 2022 12:00 AM to Sat, Apr 2, 2022 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,0,0,0,5,0,0,5
6:00AM - 6:59AM,0,101,112,98,101,69,0,481
7:00AM - 7:59AM,0,176,126,176,121,78,0,677
8:00AM - 8:59AM,0,251,266,309,230,129,0,1185
9:00AM - 9:59AM,0,286,315,302,265,139,161,1468
10:00AM - 10:59AM,0,295,328,308,325,167,117,1540
11:00AM - 11:59AM,0,365,406,354,382,252,125,1884
12:00PM - 12:59PM,0,320,289,299,252,272,158,1590
1:00PM - 1:59PM,0,260,357,299,307,264,208,1695
2:00PM - 2:59PM,0,301,283,259,244,217,160,1464
3:00PM - 3:59PM,0,331,338,322,285,276,181,1733
4:00PM - 4:59PM,0,336,300,357,299,271,139,1702
5:00PM - 5:59PM,0,363,367,388,367,196,113,1794
6:00PM - 6:59PM,0,386,369,435,369,122,103,1784
7:00PM - 7:59PM,0,303,301,376,278,111,88,1457
8:00PM - 8:59PM,0,266,228,243,204,39,35,1015
9:00PM - 9:59PM,0,122,157,139,123,0,0,541
10:00PM - 10:59PM,0,14,23,35,21,0,0,93
Totals:,0,4476,4565,4699,4178,2602,1588,22108
"Wed, Feb 26 2025 4:19P",,,,,,,,Page: 1/1
