Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Nov 27, 2022 12:00 AM to Sat, Dec 3, 2022 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,0,1,1,0,0,0,2
6:00AM - 6:59AM,0,139,103,85,77,48,0,452
7:00AM - 7:59AM,0,115,93,87,78,60,0,433
8:00AM - 8:59AM,0,167,174,167,152,66,0,726
9:00AM - 9:59AM,0,218,242,194,225,111,122,1112
10:00AM - 10:59AM,0,210,243,237,228,160,104,1182
11:00AM - 11:59AM,0,253,229,278,209,162,117,1248
12:00PM - 12:59PM,0,214,187,257,229,204,151,1242
1:00PM - 1:59PM,0,251,292,238,244,224,153,1402
2:00PM - 2:59PM,0,245,244,259,224,224,217,1413
3:00PM - 3:59PM,0,270,248,280,259,243,227,1527
4:00PM - 4:59PM,0,308,356,303,291,281,191,1730
5:00PM - 5:59PM,0,389,448,402,299,211,190,1939
6:00PM - 6:59PM,0,369,416,439,286,199,140,1849
7:00PM - 7:59PM,0,267,286,249,175,117,99,1193
8:00PM - 8:59PM,0,219,179,174,115,34,22,743
9:00PM - 9:59PM,0,117,120,104,88,0,0,429
10:00PM - 10:59PM,0,14,29,30,18,0,0,91
Totals:,0,3765,3890,3784,3197,2344,1733,18713
"Wed, Feb 26 2025 4:24P",,,,,,,,Page: 1/1
