Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Jun 30, 2024 12:00 AM to Sat, Jul 6, 2024 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
6:00AM - 6:59AM,0,24,18,19,0,7,0,68
7:00AM - 7:59AM,0,25,20,19,0,9,0,73
8:00AM - 8:59AM,0,20,15,24,0,11,0,70
9:00AM - 9:59AM,0,17,13,18,0,12,0,60
10:00AM - 10:59AM,0,24,28,29,0,25,0,106
11:00AM - 11:59AM,0,61,37,48,0,40,0,186
12:00PM - 12:59PM,0,43,60,54,0,36,78,271
1:00PM - 1:59PM,0,50,32,33,0,37,41,193
2:00PM - 2:59PM,0,33,36,54,0,58,36,217
3:00PM - 3:59PM,0,54,52,48,0,35,37,226
4:00PM - 4:59PM,0,91,73,75,0,49,14,302
5:00PM - 5:59PM,0,82,79,59,0,55,0,275
6:00PM - 6:59PM,0,70,67,68,0,32,0,237
7:00PM - 7:59PM,0,20,11,8,0,9,0,48
Totals:,0,614,541,556,0,415,206,2332
"Mon, Mar 3 2025 3:03P",,,,,,,,Page: 1/1
