Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Sep 29, 2024 12:00 AM to Sat, Oct 5, 2024 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
5:00AM - 5:59AM,0,2,0,0,0,0,0,2
6:00AM - 6:59AM,0,218,178,150,100,147,0,793
7:00AM - 7:59AM,0,303,205,227,168,87,0,990
8:00AM - 8:59AM,0,359,359,347,238,160,0,1463
9:00AM - 9:59AM,0,406,361,394,344,193,131,1829
10:00AM - 10:59AM,0,383,376,337,318,230,138,1782
11:00AM - 11:59AM,1,433,463,397,379,306,167,2146
12:00PM - 12:59PM,249,372,273,287,273,246,189,1889
1:00PM - 1:59PM,163,372,387,316,327,189,244,1998
2:00PM - 2:59PM,183,353,360,310,282,164,267,1919
3:00PM - 3:59PM,151,506,467,367,354,100,286,2231
4:00PM - 4:59PM,241,585,571,481,378,14,237,2507
5:00PM - 5:59PM,264,602,692,510,452,0,233,2753
6:00PM - 6:59PM,278,568,581,617,386,0,203,2633
7:00PM - 7:59PM,108,481,440,417,332,0,145,1923
8:00PM - 8:59PM,0,383,290,235,224,0,46,1178
9:00PM - 9:59PM,0,143,106,135,133,0,0,517
10:00PM - 10:59PM,0,14,33,16,28,0,0,91
Totals:,1638,6483,6142,5543,4716,1836,2286,28644
"Mon, Mar 3 2025 3:10P",,,,,,,,Page: 1/1
