Usage By Hour And Day,,,,,,,,
Parameters,,,,,,,,
"Sun, Nov 10, 2024 12:00 AM to Sat, Nov 16, 2024 11:59 PM",,,,,,,,
Readers: All Readers,,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
6:00AM - 6:59AM,0,0,145,108,115,105,0,473
7:00AM - 7:59AM,0,0,169,166,154,74,0,563
8:00AM - 8:59AM,0,0,221,253,196,110,0,780
9:00AM - 9:59AM,124,0,288,292,288,138,143,1273
10:00AM - 10:59AM,147,0,299,264,288,172,119,1289
11:00AM - 11:59AM,112,0,374,344,354,226,157,1567
12:00PM - 12:59PM,184,0,265,258,226,272,193,1398
1:00PM - 1:59PM,199,0,309,295,269,254,235,1561
2:00PM - 2:59PM,200,0,325,299,231,271,211,1537
3:00PM - 3:59PM,271,0,421,312,346,276,220,1846
4:00PM - 4:59PM,231,0,439,360,387,335,155,1907
5:00PM - 5:59PM,195,0,493,443,404,261,149,1945
6:00PM - 6:59PM,252,0,465,500,355,173,131,1876
7:00PM - 7:59PM,139,0,370,390,313,129,82,1423
8:00PM - 8:59PM,40,0,272,277,225,24,34,872
9:00PM - 9:59PM,0,0,160,192,143,0,0,495
10:00PM - 10:59PM,0,0,37,25,23,0,0,85
Totals:,2094,0,5052,4778,4317,2820,1829,20890
"Mon, Mar 3 2025 3:13P",,,,,,,,Page: 1/1
