Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Apr 6, 2015 12:00 AM to Sun, Apr 12, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,2,0,1,0,0,4
7:00AM - 7:59AM,0,0,1,1,1,0,0,3
8:00AM - 8:59AM,0,1,1,0,1,5,0,8
9:00AM - 9:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,1,2,0,0,0,0,1,4
11:00AM - 11:59AM,1,1,1,1,1,1,0,6
12:00PM - 12:59PM,0,1,0,0,0,1,0,2
2:00PM - 2:59PM,0,0,3,0,2,0,1,6
3:00PM - 3:59PM,1,0,1,0,1,0,3,6
4:00PM - 4:59PM,0,0,2,0,1,0,0,3
5:00PM - 5:59PM,0,0,0,0,0,1,0,1
6:00PM - 6:59PM,0,1,0,0,1,2,0,4
7:00PM - 7:59PM,0,0,2,1,0,1,0,4
8:00PM - 8:59PM,0,0,2,0,0,0,0,2
Membership Totals:,3,7,15,3,10,11,5,54
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,4,2,2,3,1,0,12
7:00AM - 7:59AM,0,0,1,1,0,1,0,3
8:00AM - 8:59AM,0,0,0,1,2,0,0,3
9:00AM - 9:59AM,0,3,0,2,0,1,0,6
10:00AM - 10:59AM,3,4,4,3,1,2,4,21
11:00AM - 11:59AM,1,5,2,5,1,2,7,23
12:00PM - 12:59PM,2,0,2,2,1,0,1,8
1:00PM - 1:59PM,0,1,0,1,2,2,1,7
2:00PM - 2:59PM,0,2,1,1,0,1,1,6
3:00PM - 3:59PM,2,1,6,4,1,3,2,19
4:00PM - 4:59PM,3,3,0,2,2,2,0,12
5:00PM - 5:59PM,2,4,4,4,2,6,0,22
6:00PM - 6:59PM,4,2,6,2,6,3,1,24
7:00PM - 7:59PM,1,0,4,0,2,2,0,9
8:00PM - 8:59PM,0,6,4,0,1,0,0,11
9:00PM - 9:59PM,0,1,4,6,3,3,0,17
10:00PM - 10:59PM,3,1,2,0,1,1,1,9
11:00PM - 11:59PM,1,1,0,1,1,1,0,5
Membership Totals:,22,38,42,37,29,31,18,217
Membership Type: Class MWF,,,,,,,,
10:00AM - 10:59AM,0,0,0,0,0,2,0,2
11:00AM - 11:59AM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,2,0,3
Membership Type: Class TU/TR,,,,,,,,
9:00AM - 9:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,0,0,1,0,1,0,0,2
5:00PM - 5:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,1,0,3,0,0,4
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,2,0,0,3
7:00AM - 7:59AM,0,3,3,1,2,3,0,12
8:00AM - 8:59AM,0,2,1,0,1,1,0,5
9:00AM - 9:59AM,0,2,0,4,2,1,0,9
10:00AM - 10:59AM,4,4,5,4,3,4,3,27
11:00AM - 11:59AM,3,4,2,1,2,2,2,16
12:00PM - 12:59PM,1,5,4,1,4,4,4,23
1:00PM - 1:59PM,1,6,2,1,3,2,2,17
2:00PM - 2:59PM,3,11,0,4,10,2,5,35
3:00PM - 3:59PM,4,9,6,3,2,6,5,35
4:00PM - 4:59PM,1,5,1,10,7,8,5,37
5:00PM - 5:59PM,4,11,10,5,7,2,4,43
6:00PM - 6:59PM,2,5,15,17,10,4,2,55
7:00PM - 7:59PM,1,3,9,8,6,5,3,35
8:00PM - 8:59PM,3,9,6,6,3,0,0,27
9:00PM - 9:59PM,2,2,3,2,3,0,1,13
10:00PM - 10:59PM,3,4,2,5,3,0,0,17
11:00PM - 11:59PM,0,0,1,2,0,0,0,3
Membership Totals:,32,86,70,74,70,44,36,412
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,0,0,0,0,2,0,2
6:00AM - 6:59AM,0,113,140,114,127,49,0,543
7:00AM - 7:59AM,0,107,103,105,86,51,0,452
8:00AM - 8:59AM,0,268,217,237,233,100,0,1055
9:00AM - 9:59AM,0,392,389,395,303,167,0,1646
10:00AM - 10:59AM,115,347,280,312,251,179,158,1642
11:00AM - 11:59AM,142,375,418,336,351,289,194,2105
12:00PM - 12:59PM,101,326,356,325,342,242,192,1884
1:00PM - 1:59PM,140,440,482,451,498,219,172,2402
2:00PM - 2:59PM,155,284,383,334,406,320,206,2088
3:00PM - 3:59PM,148,355,503,402,455,384,228,2475
4:00PM - 4:59PM,183,413,413,411,414,321,256,2411
5:00PM - 5:59PM,213,446,454,472,434,267,226,2512
6:00PM - 6:59PM,248,387,414,538,347,225,163,2322
7:00PM - 7:59PM,192,320,362,451,305,212,128,1970
8:00PM - 8:59PM,205,448,390,405,222,160,95,1925
9:00PM - 9:59PM,150,329,228,258,176,109,118,1368
10:00PM - 10:59PM,90,150,146,140,124,72,87,809
11:00PM - 11:59PM,17,25,23,26,13,11,19,134
Membership Totals:,2099,5525,5701,5712,5087,3379,2242,29745
Membership Type: PE & Rec Staff,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,0,0,0,1
7:00AM - 7:59AM,0,1,0,0,0,0,0,1
8:00AM - 8:59AM,0,0,0,1,0,0,0,1
9:00AM - 9:59AM,0,2,2,1,2,0,0,7
10:00AM - 10:59AM,0,1,0,1,0,1,0,3
11:00AM - 11:59AM,0,2,4,2,3,1,0,12
12:00PM - 12:59PM,0,0,1,2,0,1,0,4
1:00PM - 1:59PM,0,0,2,1,0,0,0,3
2:00PM - 2:59PM,0,1,2,1,0,0,0,4
3:00PM - 3:59PM,0,0,1,0,0,0,0,1
4:00PM - 4:59PM,0,0,3,0,0,0,0,3
5:00PM - 5:59PM,0,9,1,0,0,0,1,11
Membership Totals:,0,16,16,10,5,3,1,51
Totals:,2156,5673,5845,5836,5204,3470,2302,30486
"Mon, Feb 3 2025 11:16A",,,,,,,,Page: 1/1
