Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jun 8, 2015 12:00 AM to Sun, Jun 14, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
7:00AM - 7:59AM,0,1,1,0,0,0,0,2
8:00AM - 8:59AM,0,0,0,2,0,0,0,2
10:00AM - 10:59AM,0,1,1,0,1,1,1,5
11:00AM - 11:59AM,0,0,0,0,2,1,0,3
12:00PM - 12:59PM,0,1,0,0,1,0,1,3
1:00PM - 1:59PM,3,1,0,0,0,0,0,4
2:00PM - 2:59PM,0,1,2,0,5,0,0,8
3:00PM - 3:59PM,0,0,0,0,0,1,0,1
4:00PM - 4:59PM,0,2,0,0,1,0,0,3
5:00PM - 5:59PM,1,1,2,1,0,0,0,5
6:00PM - 6:59PM,0,1,3,1,1,0,0,6
7:00PM - 7:59PM,0,3,0,0,0,0,0,3
8:00PM - 8:59PM,0,0,1,0,0,0,0,1
Membership Totals:,4,12,10,4,11,3,2,46
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,2,1,0,0,0,6
8:00AM - 8:59AM,0,1,1,0,0,0,0,2
9:00AM - 9:59AM,0,2,4,0,0,0,0,6
10:00AM - 10:59AM,1,4,1,2,4,7,3,22
11:00AM - 11:59AM,1,5,3,7,1,1,2,20
12:00PM - 12:59PM,1,0,0,2,0,0,4,7
1:00PM - 1:59PM,4,1,1,0,3,0,0,9
2:00PM - 2:59PM,4,1,0,0,1,1,1,8
3:00PM - 3:59PM,0,0,0,0,1,4,0,5
4:00PM - 4:59PM,1,2,1,4,1,4,1,14
5:00PM - 5:59PM,1,5,5,3,0,5,1,20
6:00PM - 6:59PM,2,2,6,8,0,1,2,21
7:00PM - 7:59PM,1,3,2,2,3,1,0,12
8:00PM - 8:59PM,0,2,3,0,0,0,0,5
9:00PM - 9:59PM,0,1,4,0,0,0,0,5
10:00PM - 10:59PM,0,2,1,1,0,0,0,4
11:00PM - 11:59PM,0,0,1,0,0,0,0,1
Membership Totals:,16,34,35,30,14,24,14,167
Membership Type: Club Sports- Limited,,,,,,,,
4:00PM - 4:59PM,0,1,0,0,0,0,0,1
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,2,0,0,0,0,0,2
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,1,0,1,0,0,0,2
7:00AM - 7:59AM,0,0,1,0,0,0,0,1
8:00AM - 8:59AM,0,0,0,1,0,0,0,1
9:00AM - 9:59AM,0,1,1,0,0,0,0,2
10:00AM - 10:59AM,2,0,0,3,4,1,1,11
11:00AM - 11:59AM,1,5,1,4,4,4,1,20
12:00PM - 12:59PM,3,2,2,2,3,0,0,12
1:00PM - 1:59PM,1,4,5,1,2,2,1,16
2:00PM - 2:59PM,1,2,3,3,4,3,0,16
