Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Sep 7, 2015 12:00 AM to Sun, Sep 13, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
10:00AM - 10:59AM,0,0,1,1,0,0,0,2
11:00AM - 11:59AM,0,0,0,3,0,2,0,5
12:00PM - 12:59PM,0,0,1,0,0,0,0,1
1:00PM - 1:59PM,0,0,1,0,0,0,0,1
2:00PM - 2:59PM,0,0,1,0,0,2,0,3
3:00PM - 3:59PM,0,0,0,2,0,0,0,2
4:00PM - 4:59PM,0,0,2,0,0,1,0,3
5:00PM - 5:59PM,0,0,3,2,0,0,0,5
6:00PM - 6:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,10,8,0,5,0,23
Membership Type: Alumni Members,,,,,,,,
9:00AM - 9:59AM,0,0,0,0,0,1,0,1
10:00AM - 10:59AM,0,0,5,2,2,7,0,16
11:00AM - 11:59AM,0,0,1,3,1,0,0,5
12:00PM - 12:59PM,0,0,0,0,1,1,0,2
1:00PM - 1:59PM,0,0,1,2,0,0,0,3
2:00PM - 2:59PM,0,0,1,2,5,0,0,8
3:00PM - 3:59PM,0,0,2,1,4,3,0,10
4:00PM - 4:59PM,0,0,3,3,3,1,0,10
5:00PM - 5:59PM,0,0,7,5,3,4,0,19
6:00PM - 6:59PM,0,0,5,6,5,2,0,18
7:00PM - 7:59PM,0,0,6,2,0,2,0,10
8:00PM - 8:59PM,0,0,0,2,0,0,0,2
9:00PM - 9:59PM,0,0,1,1,1,0,0,3
Membership Totals:,0,0,32,29,25,21,0,107
Membership Type: Community Members,,,,,,,,
10:00AM - 10:59AM,0,0,3,1,5,2,0,11
11:00AM - 11:59AM,0,0,3,8,0,1,0,12
12:00PM - 12:59PM,0,0,3,1,2,3,0,9
1:00PM - 1:59PM,0,0,1,0,2,1,0,4
2:00PM - 2:59PM,0,0,1,2,2,3,0,8
3:00PM - 3:59PM,0,0,4,0,3,0,0,7
4:00PM - 4:59PM,0,0,0,2,0,0,0,2
5:00PM - 5:59PM,0,0,3,2,2,4,0,11
6:00PM - 6:59PM,0,0,8,5,0,2,0,15
7:00PM - 7:59PM,0,0,2,0,0,0,0,2
8:00PM - 8:59PM,0,0,1,0,1,0,0,2
9:00PM - 9:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,30,21,17,16,0,84
Membership Type: Current Student,,,,,,,,
9:00AM - 9:59AM,0,0,0,0,0,2,0,2
10:00AM - 10:59AM,0,0,51,31,32,24,0,138
11:00AM - 11:59AM,0,0,37,31,23,31,0,122
12:00PM - 12:59PM,0,0,30,23,25,26,0,104
1:00PM - 1:59PM,0,0,33,34,22,22,0,111
2:00PM - 2:59PM,0,0,23,41,30,24,0,118
3:00PM - 3:59PM,0,0,48,55,38,35,0,176
