Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Oct 12, 2015 12:00 AM to Sun, Oct 18, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,0,0,1,0,1
8:00AM - 8:59AM,0,0,1,1,0,2,0,4
9:00AM - 9:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,0,0,1,1,0,1,0,3
11:00AM - 11:59AM,0,3,0,2,2,1,1,9
12:00PM - 12:59PM,1,1,0,1,0,1,0,4
2:00PM - 2:59PM,0,2,0,4,0,0,0,6
3:00PM - 3:59PM,1,1,5,0,0,0,1,8
4:00PM - 4:59PM,1,0,2,1,1,0,0,5
5:00PM - 5:59PM,0,1,2,0,1,1,0,5
6:00PM - 6:59PM,0,1,0,0,1,0,1,3
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
9:00PM - 9:59PM,0,0,0,1,0,0,0,1
Membership Totals:,3,9,11,12,6,7,3,51
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,1,6,1,3,0,14
7:00AM - 7:59AM,0,2,2,2,0,4,0,10
8:00AM - 8:59AM,0,5,2,0,2,3,0,12
9:00AM - 9:59AM,0,2,1,1,5,1,0,10
10:00AM - 10:59AM,4,4,2,2,2,2,1,17
11:00AM - 11:59AM,2,2,2,3,3,5,3,20
12:00PM - 12:59PM,2,0,1,0,2,3,1,9
1:00PM - 1:59PM,0,1,0,1,2,0,3,7
2:00PM - 2:59PM,2,0,2,2,1,0,2,9
3:00PM - 3:59PM,3,6,4,5,1,2,1,22
4:00PM - 4:59PM,3,5,4,6,4,2,1,25
5:00PM - 5:59PM,5,5,8,8,4,5,0,35
6:00PM - 6:59PM,1,4,9,5,6,4,2,31
7:00PM - 7:59PM,2,8,2,4,2,1,2,21
8:00PM - 8:59PM,2,1,5,3,2,3,1,17
9:00PM - 9:59PM,1,0,1,1,2,0,1,6
10:00PM - 10:59PM,1,0,0,0,3,0,0,4
11:00PM - 11:59PM,1,0,0,0,1,0,1,3
Membership Totals:,29,48,46,49,43,38,19,272
Membership Type: Class MWF,,,,,,,,
4:00PM - 4:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,0,0,1
Membership Type: Class TU/TR,,,,,,,,
11:00AM - 11:59AM,0,0,1,0,1,0,0,2
Membership Totals:,0,0,1,0,1,0,0,2
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,2,1,3,2,2,0,10
7:00AM - 7:59AM,0,2,0,1,1,0,0,4
8:00AM - 8:59AM,0,0,0,0,1,0,0,1
9:00AM - 9:59AM,0,3,2,5,2,1,0,13
10:00AM - 10:59AM,7,0,5,3,4,2,2,23
11:00AM - 11:59AM,0,5,2,4,3,3,0,17
12:00PM - 12:59PM,1,1,1,1,0,4,0,8
1:00PM - 1:59PM,1,2,1,1,1,1,2,9
2:00PM - 2:59PM,0,2,4,5,4,3,0,18
3:00PM - 3:59PM,2,5,2,4,1,4,3,21
4:00PM - 4:59PM,1,7,5,3,6,3,3,28
5:00PM - 5:59PM,4,5,2,10,8,3,4,36
6:00PM - 6:59PM,3,8,14,1,7,7,1,41
7:00PM - 7:59PM,1,6,3,9,1,1,1,22
8:00PM - 8:59PM,2,1,2,5,1,3,0,14
9:00PM - 9:59PM,1,0,5,1,5,1,0,13
10:00PM - 10:59PM,1,1,3,2,0,0,0,7
11:00PM - 11:59PM,1,4,0,0,1,0,0,6
Membership Totals:,25,54,52,58,48,38,16,291
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,130,55,118,56,44,0,403
7:00AM - 7:59AM,0,98,62,90,48,57,0,355
8:00AM - 8:59AM,0,258,216,252,190,70,0,986
9:00AM - 9:59AM,0,327,351,312,289,176,0,1455
10:00AM - 10:59AM,99,283,282,298,242,146,138,1488
11:00AM - 11:59AM,90,287,312,241,283,172,128,1513
12:00PM - 12:59PM,81,243,239,240,217,139,129,1288
1:00PM - 1:59PM,90,352,397,314,387,162,134,1836
2:00PM - 2:59PM,103,263,276,223,261,241,124,1491
3:00PM - 3:59PM,97,347,391,271,288,262,134,1790
4:00PM - 4:59PM,222,339,385,252,368,305,171,2042
5:00PM - 5:59PM,246,331,406,376,354,275,161,2149
6:00PM - 6:59PM,220,440,378,384,356,240,127,2145
7:00PM - 7:59PM,182,485,392,346,324,184,101,2014
8:00PM - 8:59PM,177,374,423,298,253,155,71,1751
9:00PM - 9:59PM,112,257,291,164,206,120,77,1227
10:00PM - 10:59PM,67,114,98,129,91,73,46,618
11:00PM - 11:59PM,17,17,10,37,29,12,11,133
Membership Totals:,1803,4945,4964,4345,4242,2833,1552,24684
Membership Type: Faculty & Staff,,,,,,,,
6:00PM - 6:59PM,0,1,1,0,0,0,0,2
Membership Totals:,0,1,1,0,0,0,0,2
Membership Type: PE & Rec Staff,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,0,0,0,1
8:00AM - 8:59AM,0,1,2,2,0,0,0,5
9:00AM - 9:59AM,0,1,3,1,1,1,0,7
10:00AM - 10:59AM,0,0,1,0,2,0,0,3
11:00AM - 11:59AM,0,1,0,0,0,1,0,2
12:00PM - 12:59PM,1,1,1,0,0,0,0,3
1:00PM - 1:59PM,0,0,0,1,1,1,0,3
2:00PM - 2:59PM,0,1,0,2,0,1,0,4
