Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Feb 23, 2015 12:00 AM to Sun, Mar 1, 2015 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,1,0,0,2
8:00AM - 8:59AM,0,0,0,0,1,1,0,2
10:00AM - 10:59AM,1,0,0,0,0,1,0,2
11:00AM - 11:59AM,1,3,1,0,0,1,2,8
12:00PM - 12:59PM,0,1,0,2,0,1,0,4
1:00PM - 1:59PM,0,1,0,0,0,0,0,1
2:00PM - 2:59PM,1,1,0,0,1,0,0,3
3:00PM - 3:59PM,0,3,0,1,1,0,1,6
4:00PM - 4:59PM,0,2,0,0,0,2,0,4
5:00PM - 5:59PM,1,1,2,1,0,1,0,6
6:00PM - 6:59PM,0,0,1,1,0,0,1,3
Membership Totals:,4,12,5,5,4,7,4,41
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,1,7,1,2,1,0,12
7:00AM - 7:59AM,0,0,0,1,0,2,0,3
8:00AM - 8:59AM,0,0,0,1,0,0,0,1
9:00AM - 9:59AM,0,4,1,0,0,0,0,5
10:00AM - 10:59AM,3,5,4,4,4,4,3,27
11:00AM - 11:59AM,5,2,2,6,2,5,2,24
12:00PM - 12:59PM,0,3,2,3,4,1,1,14
1:00PM - 1:59PM,2,2,3,1,1,2,1,12
2:00PM - 2:59PM,0,1,0,2,1,0,1,5
3:00PM - 3:59PM,5,1,2,2,4,1,1,16
4:00PM - 4:59PM,1,2,0,3,4,0,0,10
5:00PM - 5:59PM,0,0,4,2,5,5,2,18
6:00PM - 6:59PM,2,6,7,10,6,2,4,37
7:00PM - 7:59PM,0,4,4,1,2,0,2,13
8:00PM - 8:59PM,3,2,2,4,2,1,1,15
9:00PM - 9:59PM,0,2,3,4,2,2,3,16
10:00PM - 10:59PM,2,1,1,1,3,0,2,10
11:00PM - 11:59PM,0,1,0,0,0,0,0,1
Membership Totals:,23,37,42,46,42,26,23,239
Membership Type: Class MWF,,,,,,,,
12:00PM - 12:59PM,0,1,0,2,0,0,0,3
Membership Totals:,0,1,0,2,0,0,0,3
Membership Type: Class TU/TR,,,,,,,,
8:00AM - 8:59AM,0,0,1,0,0,0,0,1
10:00AM - 10:59AM,0,0,1,0,1,0,0,2
12:00PM - 12:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,3,0,1,0,0,4
Membership Type: Club Sports- Limited,,,,,,,,
3:00PM - 3:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,0,0,0,1,0,1
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,1,0,1,0,0,0,2
7:00AM - 7:59AM,0,0,1,0,3,1,0,5
8:00AM - 8:59AM,0,2,0,0,1,0,0,3
9:00AM - 9:59AM,0,2,1,1,0,0,0,4
