Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Mar 7, 2016 12:00 AM to Sun, Mar 13, 2016 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,0,0,0,1
7:00AM - 7:59AM,0,1,0,0,0,1,0,2
8:00AM - 8:59AM,0,0,1,0,0,1,0,2
9:00AM - 9:59AM,0,1,1,2,0,0,0,4
10:00AM - 10:59AM,1,0,1,3,1,1,1,8
11:00AM - 11:59AM,0,1,0,1,1,1,0,4
12:00PM - 12:59PM,2,1,1,1,1,0,0,6
1:00PM - 1:59PM,1,0,0,0,0,3,2,6
2:00PM - 2:59PM,0,0,0,1,0,0,0,1
3:00PM - 3:59PM,0,1,2,3,0,4,1,11
4:00PM - 4:59PM,1,0,2,1,1,0,2,7
5:00PM - 5:59PM,1,3,0,0,2,0,0,6
6:00PM - 6:59PM,3,0,1,1,0,0,0,5
7:00PM - 7:59PM,0,2,1,1,0,0,0,4
8:00PM - 8:59PM,1,0,0,0,0,0,0,1
Membership Totals:,10,10,10,15,6,11,6,68
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,2,2,2,1,0,10
7:00AM - 7:59AM,0,5,2,4,3,1,0,15
8:00AM - 8:59AM,0,0,2,0,2,2,0,6
9:00AM - 9:59AM,0,1,1,0,0,0,1,3
10:00AM - 10:59AM,4,5,0,3,2,5,3,22
11:00AM - 11:59AM,2,8,3,6,2,2,5,28
12:00PM - 12:59PM,2,2,4,4,2,2,1,17
1:00PM - 1:59PM,1,2,1,1,0,1,3,9
2:00PM - 2:59PM,2,4,2,1,5,3,3,20
3:00PM - 3:59PM,4,4,3,4,3,4,5,27
4:00PM - 4:59PM,5,3,5,2,2,3,5,25
5:00PM - 5:59PM,4,5,8,5,10,2,2,36
6:00PM - 6:59PM,3,9,2,7,8,1,2,32
7:00PM - 7:59PM,3,2,3,3,2,4,0,17
8:00PM - 8:59PM,1,5,2,3,2,4,0,17
9:00PM - 9:59PM,3,1,2,1,0,0,3,10
10:00PM - 10:59PM,0,2,2,2,1,3,1,11
11:00PM - 11:59PM,0,1,0,1,1,0,0,3
Membership Totals:,34,62,44,49,47,38,34,308
Membership Type: Class TU/TR,,,,,,,,
10:00AM - 10:59AM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,0,1,0,0,1
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,6,3,3,2,4,0,18
7:00AM - 7:59AM,0,0,4,1,2,1,0,8
8:00AM - 8:59AM,0,0,3,0,2,2,0,7
9:00AM - 9:59AM,0,2,1,2,0,2,0,7
10:00AM - 10:59AM,1,3,2,0,4,0,2,12
11:00AM - 11:59AM,0,3,5,3,6,2,3,22
12:00PM - 12:59PM,4,1,1,2,2,4,2,16
