Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Dec 26, 2016 12:00 AM to Sun, Jan 1, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
10:00AM - 10:59AM,0,0,0,1,1,1,0,3
11:00AM - 11:59AM,0,0,1,1,0,0,0,2
12:00PM - 12:59PM,0,0,1,0,1,2,0,4
1:00PM - 1:59PM,0,0,0,0,2,0,0,2
2:00PM - 2:59PM,0,0,3,0,2,0,0,5
3:00PM - 3:59PM,0,0,3,3,2,1,0,9
4:00PM - 4:59PM,0,0,0,1,0,2,0,3
5:00PM - 5:59PM,0,0,4,0,1,1,0,6
6:00PM - 6:59PM,0,0,0,2,0,0,0,2
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,12,9,9,7,0,37
Membership Type: Alumni Members,,,,,,,,
10:00AM - 10:59AM,0,0,6,7,5,8,0,26
11:00AM - 11:59AM,0,0,3,3,3,5,0,14
12:00PM - 12:59PM,0,0,2,1,0,1,0,4
1:00PM - 1:59PM,0,0,2,1,2,0,0,5
2:00PM - 2:59PM,0,0,0,2,1,2,0,5
3:00PM - 3:59PM,0,0,2,6,3,1,0,12
4:00PM - 4:59PM,0,0,4,5,2,3,0,14
5:00PM - 5:59PM,0,0,10,5,8,6,0,29
6:00PM - 6:59PM,0,0,6,7,14,5,0,32
7:00PM - 7:59PM,0,0,5,4,2,0,0,11
Membership Totals:,0,0,40,41,40,31,0,152
Membership Type: Community Members,,,,,,,,
10:00AM - 10:59AM,0,0,2,1,4,6,0,13
11:00AM - 11:59AM,0,0,7,3,2,3,0,15
12:00PM - 12:59PM,0,0,6,8,7,1,0,22
1:00PM - 1:59PM,0,0,5,1,4,2,0,12
2:00PM - 2:59PM,0,0,4,2,3,3,0,12
3:00PM - 3:59PM,0,0,5,6,4,3,0,18
4:00PM - 4:59PM,0,0,5,3,5,4,0,17
5:00PM - 5:59PM,0,0,7,5,6,10,0,28
6:00PM - 6:59PM,0,0,5,3,6,3,0,17
7:00PM - 7:59PM,0,0,2,0,0,0,0,2
Membership Totals:,0,0,48,32,41,35,0,156
Membership Type: Community Membership,,,,,,,,
2:00PM - 2:59PM,0,0,0,0,0,1,0,1
4:00PM - 4:59PM,0,0,1,0,0,0,0,1
5:00PM - 5:59PM,0,0,0,0,1,0,0,1
6:00PM - 6:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,1,0,1,2,0,4
Membership Type: Current Student,,,,,,,,
9:00AM - 9:59AM,0,0,0,0,2,0,0,2
10:00AM - 10:59AM,0,0,30,33,24,19,0,106
11:00AM - 11:59AM,0,0,24,33,22,36,0,115
12:00PM - 12:59PM,0,0,23,25,23,37,0,108
1:00PM - 1:59PM,0,0,20,30,24,28,0,102
2:00PM - 2:59PM,0,0,34,33,32,29,0,128
3:00PM - 3:59PM,0,0,30,27,41,41,0,139
4:00PM - 4:59PM,0,0,50,28,52,37,0,167
5:00PM - 5:59PM,0,0,53,26,46,46,0,171
6:00PM - 6:59PM,0,0,47,52,36,32,0,167
7:00PM - 7:59PM,0,0,12,24,10,10,0,56
Membership Totals:,0,0,323,311,312,315,0,1261
Membership Type: Current Student 1,,,,,,,,
11:00AM - 11:59AM,0,0,0,1,0,0,0,1
12:00PM - 12:59PM,0,0,1,0,0,0,0,1
1:00PM - 1:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,1,1,0,1,0,3
Membership Type: PE & Rec Staff,,,,,,,,
11:00AM - 11:59AM,0,0,0,1,0,2,0,3
12:00PM - 12:59PM,0,0,2,0,0,0,0,2
2:00PM - 2:59PM,0,0,0,0,1,1,0,2
3:00PM - 3:59PM,0,0,2,1,0,0,0,3
4:00PM - 4:59PM,0,0,0,1,0,0,0,1
6:00PM - 6:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,4,3,1,4,0,12
Totals:,0,0,429,397,404,395,0,1625
"Mon, Feb 3 2025 10:18A",,,,,,,,Page: 1/1
