Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Feb 15, 2016 12:00 AM to Sun, Feb 21, 2016 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,2,3,1,1,0,8
7:00AM - 7:59AM,0,0,0,0,0,1,0,1
8:00AM - 8:59AM,0,1,2,1,0,1,0,5
9:00AM - 9:59AM,0,0,0,1,0,1,0,2
10:00AM - 10:59AM,1,2,1,0,0,2,0,6
11:00AM - 11:59AM,0,0,1,0,0,2,1,4
12:00PM - 12:59PM,1,2,0,0,0,0,0,3
1:00PM - 1:59PM,3,1,0,0,0,0,0,4
2:00PM - 2:59PM,0,0,0,1,2,0,0,3
3:00PM - 3:59PM,0,2,0,1,1,1,0,5
4:00PM - 4:59PM,2,2,2,1,4,0,0,11
5:00PM - 5:59PM,0,1,2,1,2,1,1,8
6:00PM - 6:59PM,0,4,1,0,1,0,1,7
7:00PM - 7:59PM,0,1,1,0,0,0,0,2
8:00PM - 8:59PM,0,0,0,0,1,0,0,1
Membership Totals:,7,17,12,9,12,10,3,70
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,1,2,1,2,2,0,8
7:00AM - 7:59AM,0,2,3,2,2,1,0,10
8:00AM - 8:59AM,0,1,1,2,1,1,0,6
9:00AM - 9:59AM,0,3,2,0,3,2,0,10
10:00AM - 10:59AM,10,5,4,1,2,2,4,28
11:00AM - 11:59AM,3,5,3,4,0,3,3,21
12:00PM - 12:59PM,2,3,2,4,4,4,4,23
1:00PM - 1:59PM,1,1,2,2,2,5,2,15
2:00PM - 2:59PM,3,6,4,3,2,0,1,19
3:00PM - 3:59PM,3,5,4,3,2,2,3,22
4:00PM - 4:59PM,4,3,2,5,5,6,2,27
5:00PM - 5:59PM,4,5,8,8,2,5,2,34
6:00PM - 6:59PM,1,5,5,4,2,6,4,27
7:00PM - 7:59PM,1,2,2,4,1,1,2,13
8:00PM - 8:59PM,0,4,2,1,4,0,2,13
9:00PM - 9:59PM,0,0,3,4,1,0,1,9
10:00PM - 10:59PM,2,3,3,2,1,4,1,16
11:00PM - 11:59PM,0,0,0,0,1,0,0,1
Membership Totals:,34,54,52,50,37,44,31,302
Membership Type: Class TU/TR,,,,,,,,
9:00AM - 9:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,1,0,1,0,0,2
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,4,1,4,3,4,0,16
7:00AM - 7:59AM,0,1,2,3,2,0,0,8
8:00AM - 8:59AM,0,1,0,5,2,2,0,10
9:00AM - 9:59AM,0,3,6,3,1,2,0,15
10:00AM - 10:59AM,0,2,0,2,1,2,6,13
11:00AM - 11:59AM,3,7,0,2,1,6,3,22
