Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jan 2, 2017 12:00 AM to Sun, Jan 8, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
10:00AM - 10:59AM,0,0,0,0,0,1,0,1
11:00AM - 11:59AM,0,0,1,1,1,0,0,3
12:00PM - 12:59PM,0,0,1,0,1,1,0,3
1:00PM - 1:59PM,0,0,1,0,0,1,0,2
2:00PM - 2:59PM,0,0,0,1,0,2,0,3
3:00PM - 3:59PM,0,0,3,0,0,0,0,3
4:00PM - 4:59PM,0,0,0,0,1,1,0,2
6:00PM - 6:59PM,1,0,2,0,3,0,0,6
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
Membership Totals:,1,0,9,2,6,6,0,24
Membership Type: Alumni Members,,,,,,,,
10:00AM - 10:59AM,0,0,2,2,1,1,0,6
11:00AM - 11:59AM,0,0,3,1,1,5,0,10
12:00PM - 12:59PM,0,0,3,2,0,5,0,10
1:00PM - 1:59PM,0,0,3,0,3,2,0,8
2:00PM - 2:59PM,0,0,3,1,1,0,0,5
3:00PM - 3:59PM,0,0,3,4,4,4,0,15
4:00PM - 4:59PM,0,0,7,4,3,2,0,16
5:00PM - 5:59PM,0,0,10,0,4,6,0,20
6:00PM - 6:59PM,8,0,7,0,6,6,0,27
7:00PM - 7:59PM,5,0,1,0,2,3,0,11
8:00PM - 8:59PM,1,0,0,0,0,0,0,1
9:00PM - 9:59PM,2,0,0,0,0,0,0,2
Membership Totals:,16,0,42,14,25,34,0,131
Membership Type: Community Members,,,,,,,,
10:00AM - 10:59AM,0,0,10,0,3,3,0,16
11:00AM - 11:59AM,0,0,3,4,4,4,0,15
12:00PM - 12:59PM,0,0,4,2,4,3,0,13
1:00PM - 1:59PM,0,0,6,2,4,6,0,18
2:00PM - 2:59PM,0,0,3,6,1,4,0,14
3:00PM - 3:59PM,0,0,5,5,4,3,0,17
4:00PM - 4:59PM,0,0,10,2,3,3,0,18
5:00PM - 5:59PM,0,0,0,0,7,9,0,16
6:00PM - 6:59PM,15,0,7,0,8,4,0,34
7:00PM - 7:59PM,4,0,1,0,1,2,0,8
Membership Totals:,19,0,49,21,39,41,0,169
Membership Type: Community Membership,,,,,,,,
6:00PM - 6:59PM,1,0,0,0,0,0,0,1
Membership Totals:,1,0,0,0,0,0,0,1
Membership Type: Current Student,,,,,,,,
9:00AM - 9:59AM,0,0,0,1,0,7,0,8
10:00AM - 10:59AM,0,0,56,31,47,62,0,196
11:00AM - 11:59AM,0,0,50,42,46,46,0,184
12:00PM - 12:59PM,0,0,44,33,44,56,0,177
1:00PM - 1:59PM,0,0,34,29,42,74,0,179
2:00PM - 2:59PM,0,0,67,38,56,79,0,240
3:00PM - 3:59PM,0,0,53,34,77,90,0,254
4:00PM - 4:59PM,0,0,102,13,77,78,0,270
5:00PM - 5:59PM,0,0,78,0,72,95,0,245
6:00PM - 6:59PM,603,0,81,0,61,75,0,820
7:00PM - 7:59PM,186,0,22,0,9,16,0,233
8:00PM - 8:59PM,89,0,0,0,0,0,0,89
9:00PM - 9:59PM,30,0,0,0,0,0,0,30
Membership Totals:,908,0,587,221,531,678,0,2925
Membership Type: Current Student 1,,,,,,,,
11:00AM - 11:59AM,0,0,0,0,2,1,0,3
12:00PM - 12:59PM,0,0,0,1,0,0,0,1
2:00PM - 2:59PM,0,0,0,1,0,0,0,1
4:00PM - 4:59PM,0,0,0,2,0,2,0,4
5:00PM - 5:59PM,0,0,0,0,0,2,0,2
6:00PM - 6:59PM,1,0,0,0,1,0,0,2
7:00PM - 7:59PM,1,0,0,0,0,1,0,2
Membership Totals:,2,0,0,4,3,6,0,15
Membership Type: PE & Rec Staff,,,,,,,,
9:00AM - 9:59AM,0,0,0,2,0,0,0,2
10:00AM - 10:59AM,0,0,1,0,0,1,0,2
12:00PM - 12:59PM,0,0,0,0,2,1,0,3
1:00PM - 1:59PM,0,0,2,0,0,4,0,6
2:00PM - 2:59PM,0,0,0,0,2,0,0,2
4:00PM - 4:59PM,0,0,0,0,1,1,0,2
6:00PM - 6:59PM,0,0,1,0,1,0,0,2
7:00PM - 7:59PM,1,0,0,0,1,0,0,2
Membership Totals:,1,0,4,2,7,7,0,21
Totals:,948,0,691,264,611,772,0,3286
"Mon, Feb 3 2025 10:33A",,,,,,,,Page: 1/1
