Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Sep 25, 2017 12:00 AM to Sun, Oct 1, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,0,0,1
7:00AM - 7:59AM,0,0,1,0,1,1,0,3
8:00AM - 8:59AM,0,0,1,0,0,3,0,4
9:00AM - 9:59AM,0,0,0,1,0,0,0,1
10:00AM - 10:59AM,0,1,0,1,1,1,3,7
11:00AM - 11:59AM,0,3,0,1,1,0,0,5
12:00PM - 12:59PM,0,1,1,0,1,0,2,5
1:00PM - 1:59PM,0,0,1,0,0,0,0,1
2:00PM - 2:59PM,0,3,0,2,1,0,1,7
3:00PM - 3:59PM,1,0,4,1,1,4,1,12
4:00PM - 4:59PM,0,0,0,2,1,0,0,3
5:00PM - 5:59PM,2,2,0,0,6,3,1,14
6:00PM - 6:59PM,1,0,2,2,2,2,1,10
7:00PM - 7:59PM,0,0,1,1,0,0,0,2
8:00PM - 8:59PM,0,0,1,0,2,0,0,3
9:00PM - 9:59PM,0,0,0,1,0,1,0,2
Membership Totals:,4,10,13,12,17,15,9,80
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,1,4,0,1,2,0,8
7:00AM - 7:59AM,0,1,0,2,2,2,0,7
8:00AM - 8:59AM,0,5,3,1,1,2,0,12
9:00AM - 9:59AM,0,1,0,2,1,2,0,6
10:00AM - 10:59AM,6,2,2,4,4,3,3,24
11:00AM - 11:59AM,5,1,2,3,5,5,1,22
12:00PM - 12:59PM,2,2,8,2,2,0,3,19
1:00PM - 1:59PM,2,1,1,3,0,2,0,9
2:00PM - 2:59PM,2,4,1,2,2,5,3,19
3:00PM - 3:59PM,2,1,1,1,1,0,3,9
4:00PM - 4:59PM,1,4,3,4,1,1,0,14
5:00PM - 5:59PM,1,9,8,1,3,7,0,29
6:00PM - 6:59PM,1,3,8,4,9,2,1,28
7:00PM - 7:59PM,0,3,1,3,3,0,0,10
8:00PM - 8:59PM,4,3,2,1,2,1,2,15
9:00PM - 9:59PM,1,0,1,3,0,0,1,6
10:00PM - 10:59PM,0,0,0,0,0,1,0,1
Membership Totals:,27,41,45,36,37,35,17,238
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,3,2,2,4,3,0,14
7:00AM - 7:59AM,0,1,1,1,1,2,0,6
8:00AM - 8:59AM,0,0,2,3,2,1,0,8
9:00AM - 9:59AM,0,3,0,0,1,1,0,5
10:00AM - 10:59AM,2,1,3,0,1,3,2,12
11:00AM - 11:59AM,0,1,2,1,3,1,3,11
12:00PM - 12:59PM,3,2,3,2,3,1,1,15
1:00PM - 1:59PM,0,2,5,2,2,2,2,15
2:00PM - 2:59PM,1,7,6,5,6,1,6,32
3:00PM - 3:59PM,1,5,1,2,6,3,2,20
4:00PM - 4:59PM,2,7,9,4,2,4,3,31
5:00PM - 5:59PM,2,11,12,7,7,3,0,42
6:00PM - 6:59PM,6,4,7,9,8,5,4,43
7:00PM - 7:59PM,2,1,2,3,4,1,0,13
8:00PM - 8:59PM,2,2,2,3,2,1,0,12
9:00PM - 9:59PM,2,1,1,1,0,1,0,6
10:00PM - 10:59PM,1,0,1,1,0,0,0,3
11:00PM - 11:59PM,0,0,0,0,1,0,0,1
Membership Totals:,24,51,59,46,53,33,23,289
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,1,1,1,1,1,1,1,7
2:00PM - 2:59PM,0,1,0,0,1,0,0,2
3:00PM - 3:59PM,1,0,1,1,0,1,1,5
Membership Totals:,2,2,2,2,2,2,2,14
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,0,0,2,0,1,0,3
6:00AM - 6:59AM,0,135,111,118,86,59,0,509
7:00AM - 7:59AM,0,146,91,107,79,47,0,470
8:00AM - 8:59AM,0,346,236,269,214,74,0,1139
9:00AM - 9:59AM,1,425,407,408,310,115,0,1666
10:00AM - 10:59AM,128,419,373,332,298,171,210,1931
11:00AM - 11:59AM,98,414,478,341,389,248,202,2170
12:00PM - 12:59PM,103,349,326,293,289,204,216,1780
1:00PM - 1:59PM,129,448,456,397,364,241,130,2165
2:00PM - 2:59PM,137,431,277,324,221,320,121,1831
3:00PM - 3:59PM,144,390,485,323,379,366,99,2186
4:00PM - 4:59PM,209,402,394,285,309,285,86,1970
5:00PM - 5:59PM,182,540,397,475,361,269,73,2297
6:00PM - 6:59PM,216,577,425,400,321,201,58,2198
7:00PM - 7:59PM,251,551,310,377,316,197,68,2070
8:00PM - 8:59PM,147,351,304,311,226,108,52,1499
9:00PM - 9:59PM,106,184,179,162,125,103,39,898
10:00PM - 10:59PM,52,43,72,60,47,40,20,334
11:00PM - 11:59PM,10,3,12,7,14,15,4,65
Membership Totals:,1913,6154,5333,4991,4348,3064,1378,27181
Membership Type: Current Student 1,,,,,,,,
5:00PM - 5:59PM,0,0,0,1,0,0,0,1
6:00PM - 6:59PM,0,1,1,0,0,1,0,3
Membership Totals:,0,1,1,1,0,1,0,4
Membership Type: PE & Rec Staff,,,,,,,,
6:00AM - 6:59AM,0,1,1,0,1,1,0,4
7:00AM - 7:59AM,0,0,0,0,1,0,0,1
8:00AM - 8:59AM,0,2,0,2,0,0,0,4
9:00AM - 9:59AM,0,2,1,1,1,0,0,5
10:00AM - 10:59AM,0,2,2,4,0,1,0,9
11:00AM - 11:59AM,0,4,3,0,0,0,0,7
12:00PM - 12:59PM,0,2,0,2,1,1,1,7
1:00PM - 1:59PM,0,0,1,0,0,0,0,1
2:00PM - 2:59PM,0,0,4,0,0,0,1,5
3:00PM - 3:59PM,0,0,1,2,1,1,0,5
4:00PM - 4:59PM,0,2,2,1,0,0,1,6
5:00PM - 5:59PM,1,1,0,1,3,1,0,7
6:00PM - 6:59PM,0,1,0,1,0,1,0,3
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
Membership Totals:,1,17,15,15,8,6,3,65
Totals:,1971,6276,5468,5103,4465,3156,1432,27871
"Mon, Feb 3 2025 10:43A",,,,,,,,Page: 1/1
