Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Dec 4, 2017 12:00 AM to Sun, Dec 10, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,2,0,0,0,0,2
7:00AM - 7:59AM,0,0,1,3,0,0,0,4
8:00AM - 8:59AM,0,1,2,1,0,0,0,4
10:00AM - 10:59AM,0,1,1,0,0,1,0,3
11:00AM - 11:59AM,0,3,0,1,2,1,0,7
12:00PM - 12:59PM,0,0,0,0,1,0,0,1
1:00PM - 1:59PM,0,1,0,1,1,1,0,4
2:00PM - 2:59PM,0,0,3,0,0,0,0,3
3:00PM - 3:59PM,0,0,0,2,0,1,0,3
4:00PM - 4:59PM,0,0,0,1,2,2,0,5
5:00PM - 5:59PM,0,1,1,2,2,1,0,7
6:00PM - 6:59PM,0,1,0,2,0,4,0,7
7:00PM - 7:59PM,0,0,0,2,0,0,0,2
10:00PM - 10:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,8,10,16,8,11,0,53
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,3,3,0,0,0,8
7:00AM - 7:59AM,0,2,5,2,0,0,0,9
9:00AM - 9:59AM,0,1,2,1,0,0,0,4
10:00AM - 10:59AM,0,5,4,7,6,8,0,30
11:00AM - 11:59AM,0,5,5,5,2,5,0,22
12:00PM - 12:59PM,0,5,1,0,1,3,0,10
1:00PM - 1:59PM,0,0,2,0,5,2,0,9
2:00PM - 2:59PM,0,0,1,2,1,3,0,7
3:00PM - 3:59PM,0,0,3,2,1,6,0,12
4:00PM - 4:59PM,0,3,5,4,6,7,0,25
5:00PM - 5:59PM,0,5,5,6,9,8,0,33
6:00PM - 6:59PM,0,7,8,9,4,6,0,34
7:00PM - 7:59PM,0,0,1,1,4,2,0,8
8:00PM - 8:59PM,0,6,3,3,0,0,0,12
9:00PM - 9:59PM,0,0,0,2,0,0,0,2
10:00PM - 10:59PM,0,1,0,0,0,0,0,1
11:00PM - 11:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,42,48,48,39,50,0,227
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,3,6,3,0,0,0,12
7:00AM - 7:59AM,0,3,1,1,0,0,0,5
8:00AM - 8:59AM,0,1,1,1,0,0,0,3
9:00AM - 9:59AM,0,2,3,0,0,0,0,5
10:00AM - 10:59AM,0,4,7,6,5,7,0,29
11:00AM - 11:59AM,0,4,0,4,2,4,0,14
12:00PM - 12:59PM,0,4,4,0,3,3,0,14
1:00PM - 1:59PM,0,2,0,5,2,1,0,10
2:00PM - 2:59PM,0,4,3,7,3,4,0,21
3:00PM - 3:59PM,0,8,4,6,2,6,0,26
4:00PM - 4:59PM,0,4,5,3,4,4,0,20
5:00PM - 5:59PM,0,12,7,6,5,2,0,32
