Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Dec 25, 2017 12:00 AM to Sun, Dec 31, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
10:00AM - 10:59AM,0,0,1,5,3,2,0,11
11:00AM - 11:59AM,0,0,4,3,2,3,0,12
12:00PM - 12:59PM,0,0,0,2,0,1,0,3
1:00PM - 1:59PM,0,0,0,0,1,2,0,3
2:00PM - 2:59PM,0,0,0,2,0,1,0,3
3:00PM - 3:59PM,0,0,0,3,0,4,0,7
4:00PM - 4:59PM,0,0,0,0,1,0,0,1
5:00PM - 5:59PM,0,0,0,1,2,2,0,5
6:00PM - 6:59PM,0,0,0,0,2,0,0,2
7:00PM - 7:59PM,0,0,0,0,0,3,0,3
Membership Totals:,0,0,5,16,11,18,0,50
Membership Type: Alumni Members,,,,,,,,
10:00AM - 10:59AM,0,0,9,5,5,13,0,32
11:00AM - 11:59AM,0,0,7,7,3,4,0,21
12:00PM - 12:59PM,0,0,2,4,3,1,0,10
1:00PM - 1:59PM,0,0,1,0,0,0,0,1
2:00PM - 2:59PM,0,0,1,1,2,2,0,6
3:00PM - 3:59PM,0,0,0,1,1,3,0,5
4:00PM - 4:59PM,0,0,2,2,1,5,0,10
5:00PM - 5:59PM,0,0,6,2,6,4,0,18
6:00PM - 6:59PM,0,0,2,6,6,4,0,18
7:00PM - 7:59PM,0,0,2,1,1,4,0,8
Membership Totals:,0,0,32,29,28,40,0,129
Membership Type: Community Members,,,,,,,,
10:00AM - 10:59AM,0,0,8,2,7,10,0,27
11:00AM - 11:59AM,0,0,6,6,2,3,0,17
12:00PM - 12:59PM,0,0,3,2,4,3,0,12
1:00PM - 1:59PM,0,0,1,0,3,2,0,6
2:00PM - 2:59PM,0,0,4,3,3,3,0,13
3:00PM - 3:59PM,0,0,4,5,3,4,0,16
4:00PM - 4:59PM,0,0,2,3,2,2,0,9
5:00PM - 5:59PM,0,0,5,4,3,4,0,16
6:00PM - 6:59PM,0,0,2,4,2,6,0,14
Membership Totals:,0,0,35,29,29,37,0,130
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,0,0,1,1,1,1,0,4
1:00PM - 1:59PM,0,0,0,0,1,0,0,1
2:00PM - 2:59PM,0,0,1,0,0,0,0,1
3:00PM - 3:59PM,0,0,1,1,2,1,0,5
4:00PM - 4:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,3,3,4,2,0,12
Membership Type: Current Student,,,,,,,,
10:00AM - 10:59AM,0,0,16,23,22,28,0,89
11:00AM - 11:59AM,0,0,15,21,16,17,0,69
12:00PM - 12:59PM,0,0,8,12,19,19,0,58
1:00PM - 1:59PM,0,0,11,30,14,9,0,64
2:00PM - 2:59PM,0,0,16,16,16,23,0,71
3:00PM - 3:59PM,0,0,26,34,24,40,0,124
4:00PM - 4:59PM,0,0,35,37,37,37,0,146
5:00PM - 5:59PM,0,0,30,41,50,41,0,162
