Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jun 5, 2017 12:00 AM to Sun, Jun 11, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,1,1,0,3
7:00AM - 7:59AM,0,0,1,0,0,1,0,2
8:00AM - 8:59AM,0,1,3,1,0,2,0,7
9:00AM - 9:59AM,0,1,0,0,0,0,0,1
10:00AM - 10:59AM,2,0,0,1,1,0,0,4
11:00AM - 11:59AM,0,0,1,0,2,1,0,4
12:00PM - 12:59PM,1,1,0,1,1,1,1,6
1:00PM - 1:59PM,1,1,0,1,0,0,0,3
2:00PM - 2:59PM,0,1,1,0,0,1,1,4
3:00PM - 3:59PM,0,0,0,2,0,0,1,3
4:00PM - 4:59PM,0,1,0,0,2,1,0,4
5:00PM - 5:59PM,0,2,0,3,0,0,0,5
6:00PM - 6:59PM,0,2,0,0,4,0,0,6
8:00PM - 8:59PM,1,0,0,0,0,1,0,2
9:00PM - 9:59PM,0,0,0,1,0,0,0,1
11:00PM - 11:59PM,0,0,1,0,0,0,0,1
Membership Totals:,5,11,7,10,11,9,3,56
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,4,5,2,4,0,18
7:00AM - 7:59AM,0,1,1,1,0,0,0,3
8:00AM - 8:59AM,0,0,1,2,0,1,0,4
9:00AM - 9:59AM,0,2,1,1,0,2,0,6
10:00AM - 10:59AM,5,3,4,1,2,1,7,23
11:00AM - 11:59AM,2,2,3,3,2,0,0,12
12:00PM - 12:59PM,1,0,0,1,2,1,5,10
1:00PM - 1:59PM,3,0,1,1,1,1,2,9
2:00PM - 2:59PM,1,4,0,1,0,2,0,8
3:00PM - 3:59PM,2,1,5,5,3,4,4,24
4:00PM - 4:59PM,1,2,2,2,3,3,0,13
5:00PM - 5:59PM,4,7,2,3,4,1,2,23
6:00PM - 6:59PM,3,5,5,8,8,2,1,32
7:00PM - 7:59PM,2,6,3,2,6,2,3,24
8:00PM - 8:59PM,2,2,1,1,2,2,2,12
9:00PM - 9:59PM,1,0,1,2,0,0,2,6
10:00PM - 10:59PM,0,1,0,2,2,1,1,7
Membership Totals:,27,39,34,41,37,27,29,234
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
7:00PM - 7:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
8:00PM - 8:59PM,0,0,0,2,0,0,0,2
Membership Totals:,0,0,0,2,0,0,0,2
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,5,5,5,4,5,0,24
7:00AM - 7:59AM,0,3,3,1,2,1,0,10
8:00AM - 8:59AM,0,3,1,0,3,2,0,9
9:00AM - 9:59AM,0,1,3,3,1,1,0,9
