Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jun 26, 2017 12:00 AM to Sun, Jul 2, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,1,0,1,0,3
7:00AM - 7:59AM,0,0,1,0,1,1,0,3
8:00AM - 8:59AM,0,0,0,1,1,2,0,4
9:00AM - 9:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,0,2,0,1,0,1,0,4
11:00AM - 11:59AM,0,2,0,2,0,0,0,4
12:00PM - 12:59PM,0,3,0,1,0,0,4,8
1:00PM - 1:59PM,0,0,0,1,1,2,0,4
2:00PM - 2:59PM,2,1,2,1,0,0,0,6
3:00PM - 3:59PM,0,1,2,5,1,0,1,10
4:00PM - 4:59PM,0,0,1,2,2,0,0,5
5:00PM - 5:59PM,0,3,4,1,2,1,0,11
6:00PM - 6:59PM,2,1,1,0,0,0,0,4
7:00PM - 7:59PM,1,0,0,0,0,0,0,1
Membership Totals:,5,13,12,16,9,8,5,68
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,0,1,1,1,0,0,3
7:00AM - 7:59AM,0,0,0,1,0,0,0,1
8:00AM - 8:59AM,0,0,2,0,0,0,0,2
9:00AM - 9:59AM,0,2,0,2,0,2,0,6
10:00AM - 10:59AM,0,2,5,3,4,5,0,19
11:00AM - 11:59AM,0,1,0,1,1,2,0,5
12:00PM - 12:59PM,5,0,1,2,0,3,1,12
1:00PM - 1:59PM,1,0,2,1,2,0,2,8
2:00PM - 2:59PM,0,3,0,1,2,2,1,9
3:00PM - 3:59PM,1,3,1,1,3,2,0,11
4:00PM - 4:59PM,2,4,2,4,3,2,0,17
5:00PM - 5:59PM,2,3,4,2,3,2,0,16
6:00PM - 6:59PM,0,1,3,4,2,4,1,15
7:00PM - 7:59PM,0,0,0,2,2,0,1,5
Membership Totals:,11,19,21,25,23,24,6,129
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,0,2,4,5,1,0,12
7:00AM - 7:59AM,0,0,1,0,1,3,0,5
8:00AM - 8:59AM,0,0,3,1,0,2,0,6
9:00AM - 9:59AM,0,1,0,1,1,0,0,3
10:00AM - 10:59AM,0,1,2,0,1,2,0,6
11:00AM - 11:59AM,3,3,0,3,1,3,0,13
12:00PM - 12:59PM,1,5,2,3,3,1,6,21
1:00PM - 1:59PM,2,2,0,2,1,1,1,9
2:00PM - 2:59PM,1,5,2,4,2,1,1,16
3:00PM - 3:59PM,0,1,0,0,3,2,2,8
4:00PM - 4:59PM,1,1,1,2,0,3,2,10
5:00PM - 5:59PM,1,4,4,4,6,3,1,23
6:00PM - 6:59PM,0,2,5,4,2,4,2,19
7:00PM - 7:59PM,1,0,0,0,0,0,0,1
Membership Totals:,10,25,22,28,26,26,15,152
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,0,1,1,0,1,2,0,5
3:00PM - 3:59PM,0,1,1,0,1,1,0,4
Membership Totals:,0,2,2,0,2,3,0,9
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,0,12,9,10,6,0,37
7:00AM - 7:59AM,0,0,17,14,12,7,0,50
8:00AM - 8:59AM,0,1,55,50,52,43,0,201
9:00AM - 9:59AM,0,18,19,40,25,30,0,132
10:00AM - 10:59AM,0,46,30,30,27,29,0,162
11:00AM - 11:59AM,4,63,55,78,46,35,0,281
12:00PM - 12:59PM,39,62,64,59,41,36,58,359
1:00PM - 1:59PM,35,51,80,52,49,36,18,321
2:00PM - 2:59PM,33,68,78,47,39,44,22,331
3:00PM - 3:59PM,41,67,109,72,85,57,22,453
4:00PM - 4:59PM,48,100,119,120,95,81,46,609
5:00PM - 5:59PM,37,117,95,102,109,61,33,554
6:00PM - 6:59PM,34,91,93,92,89,51,45,495
7:00PM - 7:59PM,12,36,21,30,25,20,15,159
Membership Totals:,283,720,847,795,704,536,259,4144
Membership Type: PE & Rec Staff,,,,,,,,
6:00AM - 6:59AM,0,0,0,0,1,0,0,1
7:00AM - 7:59AM,0,2,1,2,0,0,0,5
8:00AM - 8:59AM,0,0,0,0,1,3,0,4
9:00AM - 9:59AM,0,0,1,1,0,1,0,3
10:00AM - 10:59AM,0,0,1,0,0,4,0,5
11:00AM - 11:59AM,1,3,2,3,2,1,0,12
12:00PM - 12:59PM,3,4,1,3,2,0,2,15
1:00PM - 1:59PM,0,1,3,3,1,3,1,12
2:00PM - 2:59PM,2,1,1,2,0,0,0,6
3:00PM - 3:59PM,1,0,5,1,0,1,0,8
4:00PM - 4:59PM,1,2,8,8,1,7,2,29
5:00PM - 5:59PM,0,1,3,4,3,1,0,12
6:00PM - 6:59PM,0,1,8,1,2,3,1,16
7:00PM - 7:59PM,0,0,0,1,0,0,1,2
Membership Totals:,8,15,34,29,13,24,7,130
Totals:,317,794,938,893,777,621,292,4632
"Mon, Feb 3 2025 10:56A",,,,,,,,Page: 1/1
