Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Oct 30, 2017 12:00 AM to Sun, Nov 5, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,0,0,0,1
7:00AM - 7:59AM,0,1,1,0,0,3,0,5
8:00AM - 8:59AM,0,1,1,1,0,0,0,3
9:00AM - 9:59AM,0,0,2,0,0,0,0,2
10:00AM - 10:59AM,0,1,1,0,2,1,8,13
11:00AM - 11:59AM,0,1,0,2,1,2,0,6
12:00PM - 12:59PM,3,1,1,1,0,0,2,8
1:00PM - 1:59PM,1,0,0,0,1,0,0,2
2:00PM - 2:59PM,0,0,0,0,0,0,1,1
3:00PM - 3:59PM,0,0,0,0,0,1,0,1
4:00PM - 4:59PM,0,0,1,2,1,0,1,5
5:00PM - 5:59PM,0,4,2,0,4,2,0,12
6:00PM - 6:59PM,0,0,0,0,0,1,0,1
7:00PM - 7:59PM,2,0,1,0,0,0,0,3
8:00PM - 8:59PM,0,0,1,0,1,0,0,2
9:00PM - 9:59PM,0,0,0,0,0,1,0,1
10:00PM - 10:59PM,0,0,2,0,0,0,1,3
Membership Totals:,6,10,13,6,10,11,13,69
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,5,2,4,3,0,17
7:00AM - 7:59AM,0,0,5,2,2,1,0,10
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
9:00AM - 9:59AM,0,1,2,3,0,3,0,9
10:00AM - 10:59AM,5,4,3,3,4,5,7,31
11:00AM - 11:59AM,5,3,3,6,1,5,3,26
12:00PM - 12:59PM,3,2,3,4,2,1,2,17
1:00PM - 1:59PM,2,1,1,1,0,2,3,10
2:00PM - 2:59PM,3,1,2,3,2,4,0,15
3:00PM - 3:59PM,3,1,2,0,0,3,4,13
4:00PM - 4:59PM,5,4,3,1,5,1,2,21
5:00PM - 5:59PM,3,1,1,5,5,4,3,22
6:00PM - 6:59PM,3,6,6,5,7,5,2,34
7:00PM - 7:59PM,1,3,3,2,1,6,0,16
8:00PM - 8:59PM,2,7,3,2,1,0,1,16
9:00PM - 9:59PM,1,1,1,2,2,0,0,7
10:00PM - 10:59PM,1,1,1,0,4,1,1,9
Membership Totals:,37,40,44,41,40,44,28,274
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
7:00PM - 7:59PM,0,1,0,0,0,0,0,1
8:00PM - 8:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,2,0,0,0,0,0,2
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,1,2,4,2,1,0,10
7:00AM - 7:59AM,0,1,1,0,1,1,0,4
8:00AM - 8:59AM,0,1,0,1,0,0,0,2
9:00AM - 9:59AM,0,1,2,1,4,1,0,9
10:00AM - 10:59AM,5,3,2,0,5,4,3,22
