Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Nov 20, 2017 12:00 AM to Sun, Nov 26, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
7:00AM - 7:59AM,0,0,1,0,0,0,0,1
8:00AM - 8:59AM,0,0,1,0,0,0,0,1
9:00AM - 9:59AM,0,1,1,1,0,0,0,3
10:00AM - 10:59AM,3,1,0,1,0,0,0,5
11:00AM - 11:59AM,2,1,3,4,0,0,0,10
12:00PM - 12:59PM,0,4,0,0,0,0,0,4
2:00PM - 2:59PM,0,2,0,0,0,0,0,2
3:00PM - 3:59PM,3,1,0,1,0,0,0,5
4:00PM - 4:59PM,0,1,1,3,0,0,0,5
5:00PM - 5:59PM,0,4,5,0,0,0,0,9
6:00PM - 6:59PM,1,0,1,2,0,0,0,4
8:00PM - 8:59PM,0,0,1,0,0,0,0,1
10:00PM - 10:59PM,0,0,1,0,0,0,0,1
Membership Totals:,9,15,15,12,0,0,0,51
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,5,6,1,0,0,0,12
7:00AM - 7:59AM,0,1,5,0,0,0,0,6
8:00AM - 8:59AM,0,1,1,0,0,0,0,2
9:00AM - 9:59AM,0,2,2,3,0,0,0,7
10:00AM - 10:59AM,3,3,4,4,0,0,0,14
11:00AM - 11:59AM,2,2,3,1,0,0,0,8
12:00PM - 12:59PM,5,1,2,1,0,0,0,9
1:00PM - 1:59PM,0,0,4,0,0,0,0,4
2:00PM - 2:59PM,3,1,1,2,0,0,0,7
3:00PM - 3:59PM,2,0,0,2,0,0,0,4
4:00PM - 4:59PM,2,9,2,3,0,0,0,16
5:00PM - 5:59PM,3,5,7,8,0,0,0,23
6:00PM - 6:59PM,3,7,4,0,0,0,0,14
7:00PM - 7:59PM,1,3,3,2,0,0,0,9
8:00PM - 8:59PM,0,3,1,0,0,0,0,4
9:00PM - 9:59PM,1,6,2,0,0,0,0,9
10:00PM - 10:59PM,1,1,0,0,0,0,0,2
Membership Totals:,26,50,47,27,0,0,0,150
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,2,2,0,0,0,0,4
7:00AM - 7:59AM,0,1,0,0,0,0,0,1
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
9:00AM - 9:59AM,0,0,3,2,0,0,0,5
10:00AM - 10:59AM,3,2,1,2,0,0,0,8
11:00AM - 11:59AM,3,2,3,4,0,0,0,12
12:00PM - 12:59PM,4,1,4,1,0,0,0,10
1:00PM - 1:59PM,2,5,4,2,0,0,0,13
2:00PM - 2:59PM,4,4,3,3,0,0,0,14
3:00PM - 3:59PM,6,7,1,5,0,0,0,19
4:00PM - 4:59PM,3,9,5,4,0,0,0,21
5:00PM - 5:59PM,1,3,7,4,0,0,0,15
6:00PM - 6:59PM,2,10,5,6,0,0,0,23
7:00PM - 7:59PM,0,4,4,2,0,0,0,10
8:00PM - 8:59PM,0,3,0,0,0,0,0,3
9:00PM - 9:59PM,1,2,4,0,0,0,0,7
10:00PM - 10:59PM,1,1,0,0,0,0,0,2
Membership Totals:,30,57,46,35,0,0,0,168
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,0,0,1,1,0,0,0,2
11:00AM - 11:59AM,1,1,0,0,0,0,0,2
2:00PM - 2:59PM,0,0,0,1,0,0,0,1
3:00PM - 3:59PM,1,1,0,0,0,0,0,2
9:00PM - 9:59PM,0,0,1,0,0,0,0,1
Membership Totals:,2,2,2,2,0,0,0,8
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,0,2,3,0,0,0,5
6:00AM - 6:59AM,0,97,71,12,0,0,0,180
7:00AM - 7:59AM,0,70,39,7,0,0,0,116
8:00AM - 8:59AM,0,143,125,43,0,0,0,311
9:00AM - 9:59AM,0,280,219,179,0,0,0,678
10:00AM - 10:59AM,57,226,192,148,0,0,0,623
11:00AM - 11:59AM,46,218,243,151,0,0,0,658
12:00PM - 12:59PM,69,157,191,139,0,0,0,556
1:00PM - 1:59PM,67,238,190,143,0,0,0,638
2:00PM - 2:59PM,81,217,154,117,0,0,0,569
3:00PM - 3:59PM,95,265,245,134,0,0,0,739
4:00PM - 4:59PM,116,211,224,124,0,0,0,675
5:00PM - 5:59PM,133,346,245,107,0,0,0,831
6:00PM - 6:59PM,125,290,188,98,0,0,0,701
7:00PM - 7:59PM,117,258,193,35,0,0,0,603
8:00PM - 8:59PM,111,224,129,0,0,0,0,464
9:00PM - 9:59PM,92,199,103,0,0,0,0,394
10:00PM - 10:59PM,46,84,64,0,0,0,0,194
11:00PM - 11:59PM,11,15,22,0,0,0,0,48
Membership Totals:,1166,3538,2839,1440,0,0,0,8983
Membership Type: PE & Rec Staff,,,,,,,,
8:00AM - 8:59AM,0,1,0,3,0,0,0,4
9:00AM - 9:59AM,0,1,1,1,0,0,0,3
11:00AM - 11:59AM,0,2,1,2,0,0,0,5
12:00PM - 12:59PM,0,1,1,1,0,0,0,3
1:00PM - 1:59PM,0,0,0,1,0,0,0,1
2:00PM - 2:59PM,0,1,2,0,0,0,0,3
3:00PM - 3:59PM,0,1,1,2,0,0,0,4
4:00PM - 4:59PM,0,0,1,1,0,0,0,2
6:00PM - 6:59PM,0,1,0,1,0,0,0,2
Membership Totals:,0,8,7,12,0,0,0,27
Totals:,1233,3670,2956,1528,0,0,0,9387
"Mon, Feb 3 2025 10:51A",,,,,,,,Page: 1/1
