Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Nov 27, 2017 12:00 AM to Sun, Dec 3, 2017 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,2,0,0,3
7:00AM - 7:59AM,0,0,2,0,0,1,0,3
8:00AM - 8:59AM,0,0,2,1,0,2,0,5
9:00AM - 9:59AM,0,0,0,1,0,2,0,3
10:00AM - 10:59AM,1,1,0,0,0,0,0,2
11:00AM - 11:59AM,0,1,1,3,2,0,0,7
12:00PM - 12:59PM,0,1,0,0,0,3,3,7
1:00PM - 1:59PM,0,1,1,0,0,0,2,4
2:00PM - 2:59PM,0,0,0,0,0,0,2,2
3:00PM - 3:59PM,0,2,0,0,0,2,1,5
4:00PM - 4:59PM,0,1,0,0,1,1,1,4
5:00PM - 5:59PM,1,0,0,3,3,1,0,8
6:00PM - 6:59PM,0,0,2,0,2,0,0,4
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
8:00PM - 8:59PM,0,0,1,0,0,0,0,1
9:00PM - 9:59PM,0,0,0,0,0,1,0,1
10:00PM - 10:59PM,1,1,0,0,0,0,0,2
Membership Totals:,3,8,10,9,10,13,9,62
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,4,3,4,4,0,0,15
7:00AM - 7:59AM,0,1,7,1,6,0,0,15
8:00AM - 8:59AM,0,0,0,1,0,1,0,2
9:00AM - 9:59AM,0,2,4,1,1,3,0,11
10:00AM - 10:59AM,8,3,8,5,4,4,6,38
11:00AM - 11:59AM,2,4,2,4,2,1,4,19
12:00PM - 12:59PM,3,3,3,0,2,5,3,19
1:00PM - 1:59PM,8,0,0,0,1,1,5,15
2:00PM - 2:59PM,4,2,0,2,1,2,1,12
3:00PM - 3:59PM,1,1,1,2,2,3,2,12
4:00PM - 4:59PM,2,4,2,1,1,3,1,14
5:00PM - 5:59PM,3,10,6,6,8,5,6,44
6:00PM - 6:59PM,2,4,9,4,3,2,1,25
7:00PM - 7:59PM,2,2,4,5,2,3,0,18
8:00PM - 8:59PM,3,0,2,3,2,2,1,13
9:00PM - 9:59PM,0,3,2,3,0,2,0,10
10:00PM - 10:59PM,2,0,1,3,0,1,1,8
11:00PM - 11:59PM,0,0,1,0,0,0,0,1
Membership Totals:,40,43,55,45,39,38,31,291
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,2,3,5,3,2,0,15
7:00AM - 7:59AM,0,2,5,1,2,3,0,13
8:00AM - 8:59AM,0,0,0,2,0,1,0,3
9:00AM - 9:59AM,0,1,3,0,0,0,0,4
10:00AM - 10:59AM,3,2,0,1,3,1,5,15
11:00AM - 11:59AM,4,2,2,3,3,3,3,20
12:00PM - 12:59PM,1,4,4,2,4,4,0,19
1:00PM - 1:59PM,4,2,5,2,1,3,5,22
