Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jul 2, 2018 12:00 AM to Sun, Jul 8, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,0,0,0,0,2
8:00AM - 8:59AM,0,0,1,0,1,1,0,3
9:00AM - 9:59AM,0,2,2,0,1,1,0,6
10:00AM - 10:59AM,0,3,1,0,0,1,0,5
11:00AM - 11:59AM,0,1,1,0,1,0,0,3
12:00PM - 12:59PM,0,2,1,0,3,0,1,7
1:00PM - 1:59PM,1,0,3,0,1,0,3,8
2:00PM - 2:59PM,0,1,1,0,2,2,1,7
3:00PM - 3:59PM,1,1,2,0,3,4,0,11
4:00PM - 4:59PM,1,5,2,0,2,3,1,14
5:00PM - 5:59PM,0,3,0,0,6,0,0,9
6:00PM - 6:59PM,1,3,2,0,3,1,1,11
7:00PM - 7:59PM,1,0,0,0,0,0,0,1
Membership Totals:,5,22,17,0,23,13,7,87
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,1,0,0,0,0,4
7:00AM - 7:59AM,0,1,4,0,2,0,0,7
8:00AM - 8:59AM,0,2,0,0,1,4,0,7
9:00AM - 9:59AM,0,4,3,0,1,1,0,9
10:00AM - 10:59AM,0,1,2,0,2,3,0,8
11:00AM - 11:59AM,0,1,1,0,1,2,0,5
12:00PM - 12:59PM,1,0,0,0,2,1,4,8
1:00PM - 1:59PM,1,2,0,0,1,2,2,8
2:00PM - 2:59PM,1,1,2,0,0,1,1,6
3:00PM - 3:59PM,0,5,2,0,2,3,5,17
4:00PM - 4:59PM,1,1,1,0,3,6,0,12
5:00PM - 5:59PM,1,5,6,0,7,2,1,22
6:00PM - 6:59PM,3,5,4,0,8,4,5,29
7:00PM - 7:59PM,2,1,3,0,1,3,0,10
Membership Totals:,10,32,29,0,31,32,18,152
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,1,3,0,0,0,0,4
7:00AM - 7:59AM,0,0,1,0,0,1,0,2
8:00AM - 8:59AM,0,1,1,0,2,1,0,5
9:00AM - 9:59AM,0,0,0,0,0,8,0,8
10:00AM - 10:59AM,0,2,7,0,5,4,0,18
11:00AM - 11:59AM,1,4,2,0,3,2,0,12
12:00PM - 12:59PM,5,6,3,0,2,2,5,23
1:00PM - 1:59PM,2,2,3,0,1,0,3,11
2:00PM - 2:59PM,2,3,1,0,2,2,1,11
3:00PM - 3:59PM,0,3,4,0,1,1,0,9
4:00PM - 4:59PM,3,2,4,0,3,2,0,14
5:00PM - 5:59PM,0,4,7,0,4,4,2,21
6:00PM - 6:59PM,0,5,7,0,3,6,4,25
7:00PM - 7:59PM,0,1,0,0,3,0,3,7
Membership Totals:,13,34,43,0,29,33,18,170
Membership Type: Community Membership,,,,,,,,
