Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Mar 26, 2018 12:00 AM to Sun, Apr 1, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
10:00AM - 10:59AM,0,2,2,2,1,1,0,8
11:00AM - 11:59AM,0,0,0,4,2,2,0,8
12:00PM - 12:59PM,0,2,0,1,1,0,0,4
1:00PM - 1:59PM,0,0,0,0,0,1,0,1
2:00PM - 2:59PM,0,2,2,0,1,0,0,5
3:00PM - 3:59PM,0,2,3,2,0,1,0,8
4:00PM - 4:59PM,0,2,1,0,1,3,0,7
5:00PM - 5:59PM,0,2,3,0,2,2,0,9
6:00PM - 6:59PM,1,1,0,1,2,0,0,5
Membership Totals:,1,13,11,10,10,10,0,55
Membership Type: Alumni Members,,,,,,,,
10:00AM - 10:59AM,0,4,5,8,10,11,0,38
11:00AM - 11:59AM,0,3,0,5,2,4,0,14
12:00PM - 12:59PM,0,3,0,3,1,1,0,8
1:00PM - 1:59PM,0,4,0,4,1,2,0,11
2:00PM - 2:59PM,0,3,3,1,1,0,0,8
3:00PM - 3:59PM,0,2,1,4,0,4,0,11
4:00PM - 4:59PM,0,4,1,2,1,0,0,8
5:00PM - 5:59PM,0,7,10,15,7,9,0,48
6:00PM - 6:59PM,12,7,8,7,7,3,0,44
7:00PM - 7:59PM,0,2,1,3,3,2,0,11
8:00PM - 8:59PM,1,0,0,0,0,0,0,1
9:00PM - 9:59PM,1,0,0,0,0,0,0,1
Membership Totals:,14,39,29,52,33,36,0,203
Membership Type: Community Members,,,,,,,,
10:00AM - 10:59AM,0,3,3,4,5,4,0,19
11:00AM - 11:59AM,0,6,4,4,2,2,0,18
12:00PM - 12:59PM,0,1,0,2,3,1,0,7
1:00PM - 1:59PM,0,0,1,0,1,2,0,4
2:00PM - 2:59PM,0,3,3,2,3,2,0,13
3:00PM - 3:59PM,0,3,4,1,2,1,0,11
4:00PM - 4:59PM,0,2,1,3,1,3,0,10
5:00PM - 5:59PM,0,6,1,6,2,3,0,18
6:00PM - 6:59PM,7,4,2,3,1,5,0,22
7:00PM - 7:59PM,2,0,0,1,0,0,0,3
9:00PM - 9:59PM,1,0,0,0,0,0,0,1
Membership Totals:,10,28,19,26,20,23,0,126
Membership Type: Community Membership,,,,,,,,
10:00AM - 10:59AM,0,1,1,1,1,1,0,5
2:00PM - 2:59PM,0,1,1,1,1,0,0,4
4:00PM - 4:59PM,0,0,0,1,0,1,0,2
5:00PM - 5:59PM,0,1,0,0,1,0,0,2
Membership Totals:,0,3,2,3,3,2,0,13
Membership Type: Current Student,,,,,,,,
10:00AM - 10:59AM,0,77,43,73,47,75,0,315
11:00AM - 11:59AM,0,45,48,45,37,57,0,232
12:00PM - 12:59PM,0,55,32,47,33,38,0,205
1:00PM - 1:59PM,0,50,38,35,36,35,0,194
