Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, May 7, 2018 12:00 AM to Sun, May 13, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,2,0,1,0,5
7:00AM - 7:59AM,0,2,1,0,0,0,0,3
8:00AM - 8:59AM,0,0,2,0,0,1,0,3
9:00AM - 9:59AM,0,0,0,0,2,2,0,4
10:00AM - 10:59AM,0,0,0,0,0,1,3,4
11:00AM - 11:59AM,0,1,1,1,0,1,1,5
12:00PM - 12:59PM,0,4,0,1,0,0,1,6
1:00PM - 1:59PM,0,1,1,1,0,0,0,3
2:00PM - 2:59PM,0,0,1,0,0,1,0,2
3:00PM - 3:59PM,0,0,0,0,0,1,0,1
4:00PM - 4:59PM,1,1,1,1,2,1,0,7
5:00PM - 5:59PM,0,0,1,4,2,2,1,10
6:00PM - 6:59PM,0,1,0,0,1,0,0,2
9:00PM - 9:59PM,0,0,0,0,0,0,1,1
Membership Totals:,1,11,9,10,7,11,7,56
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,6,4,5,4,3,0,22
7:00AM - 7:59AM,0,7,3,1,3,1,0,15
8:00AM - 8:59AM,0,0,3,1,0,3,0,7
9:00AM - 9:59AM,0,4,1,4,1,3,0,13
10:00AM - 10:59AM,4,1,4,4,3,2,4,22
11:00AM - 11:59AM,1,1,3,3,3,1,7,19
12:00PM - 12:59PM,0,3,1,3,5,0,1,13
1:00PM - 1:59PM,0,1,5,2,1,2,0,11
2:00PM - 2:59PM,2,2,0,3,2,4,1,14
3:00PM - 3:59PM,6,1,3,0,0,0,2,12
4:00PM - 4:59PM,2,10,3,2,2,5,1,25
5:00PM - 5:59PM,1,8,6,10,5,5,1,36
6:00PM - 6:59PM,2,4,6,10,5,3,1,31
7:00PM - 7:59PM,2,9,3,3,6,6,3,32
8:00PM - 8:59PM,0,3,3,2,4,2,1,15
9:00PM - 9:59PM,0,1,3,1,7,1,1,14
10:00PM - 10:59PM,0,4,2,2,1,0,1,10
Membership Totals:,20,65,53,56,52,41,24,311
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,1,0,1,0,2
Membership Totals:,0,0,0,1,0,1,0,2
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,0,1,0,0,1
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,3,0,1,3,3,0,10
7:00AM - 7:59AM,0,0,3,1,0,2,0,6
8:00AM - 8:59AM,0,4,2,1,4,1,0,12
9:00AM - 9:59AM,0,0,5,0,4,3,0,12
10:00AM - 10:59AM,0,2,1,2,0,4,4,13
11:00AM - 11:59AM,0,4,0,6,2,1,0,13
