Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, May 28, 2018 12:00 AM to Sun, Jun 3, 2018 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: Faculty/Staff,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
7:00AM - 7:59AM,0,0,0,0,0,1,0,1
8:00AM - 8:59AM,0,0,2,1,0,1,0,4
9:00AM - 9:59AM,0,0,0,0,0,1,0,1
10:00AM - 10:59AM,3,0,0,0,0,0,0,3
11:00AM - 11:59AM,0,3,2,1,0,1,1,8
12:00PM - 12:59PM,1,0,0,0,0,1,0,2
1:00PM - 1:59PM,0,1,0,0,4,1,1,7
2:00PM - 2:59PM,0,1,0,0,1,2,0,4
3:00PM - 3:59PM,1,1,0,0,1,3,0,6
4:00PM - 4:59PM,0,0,2,1,3,1,1,8
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
6:00PM - 6:59PM,1,0,1,1,1,1,1,6
7:00PM - 7:59PM,0,2,0,0,0,1,0,3
8:00PM - 8:59PM,1,0,0,1,0,0,0,2
9:00PM - 9:59PM,0,0,0,0,1,0,0,1
Membership Totals:,7,9,7,5,11,14,4,57
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,0,3,4,2,2,0,11
7:00AM - 7:59AM,0,0,1,1,4,1,0,7
8:00AM - 8:59AM,0,0,0,0,1,3,0,4
9:00AM - 9:59AM,0,0,0,2,0,2,0,4
10:00AM - 10:59AM,6,10,4,3,4,3,2,32
11:00AM - 11:59AM,1,0,1,2,1,2,5,12
12:00PM - 12:59PM,3,4,1,4,1,1,0,14
1:00PM - 1:59PM,2,1,2,2,1,3,5,16
2:00PM - 2:59PM,1,1,1,1,0,6,4,14
3:00PM - 3:59PM,1,2,0,2,3,2,0,10
4:00PM - 4:59PM,3,2,3,4,2,1,2,17
5:00PM - 5:59PM,3,4,2,6,2,3,1,21
6:00PM - 6:59PM,2,3,6,7,5,5,4,32
7:00PM - 7:59PM,5,1,4,3,3,3,1,20
8:00PM - 8:59PM,0,0,4,2,0,1,0,7
9:00PM - 9:59PM,1,0,1,5,1,0,3,11
10:00PM - 10:59PM,1,0,2,1,2,2,0,8
Membership Totals:,29,28,35,49,32,40,27,240
Membership Type: Class MWF,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,0,0,1,0,0,1
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,1,0,1,0,2
Membership Totals:,0,0,0,1,0,1,0,2
Membership Type: Community Members,,,,,,,,
6:00AM - 6:59AM,0,0,2,1,1,0,0,4
7:00AM - 7:59AM,0,0,0,0,2,0,0,2
8:00AM - 8:59AM,0,0,3,0,1,1,0,5
9:00AM - 9:59AM,0,0,1,2,1,1,0,5
10:00AM - 10:59AM,3,3,0,0,0,3,7,16
