Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Mar 11, 2019 12:00 AM to Sun, Mar 17, 2019 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,1,4,1,0,8
7:00AM - 7:59AM,0,0,5,0,1,3,0,9
8:00AM - 8:59AM,0,0,2,1,0,2,0,5
9:00AM - 9:59AM,0,0,0,0,1,2,0,3
10:00AM - 10:59AM,1,0,1,1,0,1,2,6
11:00AM - 11:59AM,0,1,4,1,1,1,0,8
12:00PM - 12:59PM,2,0,1,2,1,1,1,8
1:00PM - 1:59PM,0,0,0,2,0,0,1,3
2:00PM - 2:59PM,1,2,1,0,0,1,1,6
3:00PM - 3:59PM,0,2,1,0,1,1,0,5
4:00PM - 4:59PM,3,0,0,2,1,2,0,8
5:00PM - 5:59PM,3,0,1,1,0,6,0,11
6:00PM - 6:59PM,0,4,2,3,4,1,0,14
7:00PM - 7:59PM,0,2,0,1,1,0,0,4
10:00PM - 10:59PM,0,1,0,0,0,0,0,1
Membership Totals:,10,13,19,15,15,22,5,99
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,9,6,3,3,2,0,23
7:00AM - 7:59AM,0,2,3,3,4,1,0,13
8:00AM - 8:59AM,0,0,0,0,0,2,0,2
9:00AM - 9:59AM,0,1,2,3,0,0,0,6
10:00AM - 10:59AM,6,2,6,3,1,4,4,26
11:00AM - 11:59AM,1,2,1,4,3,1,1,13
12:00PM - 12:59PM,0,3,2,2,1,0,3,11
1:00PM - 1:59PM,0,1,1,3,0,1,3,9
2:00PM - 2:59PM,2,3,3,1,3,5,3,20
3:00PM - 3:59PM,3,2,3,3,4,2,0,17
4:00PM - 4:59PM,1,4,4,3,3,2,2,19
5:00PM - 5:59PM,1,6,7,6,5,0,1,26
6:00PM - 6:59PM,2,10,5,6,6,4,2,35
7:00PM - 7:59PM,1,0,5,2,3,0,3,14
8:00PM - 8:59PM,0,3,2,1,1,1,0,8
9:00PM - 9:59PM,0,0,1,1,0,0,1,3
10:00PM - 10:59PM,0,0,1,2,0,1,0,4
11:00PM - 11:59PM,0,0,1,0,1,0,0,2
Membership Totals:,17,48,53,46,38,26,23,251
Membership Type: Class MTWTh,,,,,,,,
10:00AM - 10:59AM,0,1,0,1,1,0,0,3
12:00PM - 12:59PM,0,0,0,0,2,0,0,2
Membership Totals:,0,1,0,1,3,0,0,5
Membership Type: Class MW,,,,,,,,
10:00AM - 10:59AM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Club Sport Fencing - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,2,0,0,0,0,0,2
Membership Totals:,0,2,0,0,0,0,0,2
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,4,1,2,0,0,7
Membership Totals:,0,0,4,1,2,0,0,7
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,0,1,0,1
6:00PM - 6:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,1,0,2
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,0,0,1
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,0,2,0,0,0,0,2
6:00PM - 6:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,0,2,0,1,0,0,3
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,2,3,1,3,2,0,11
7:00AM - 7:59AM,0,3,1,1,1,0,0,6
8:00AM - 8:59AM,0,1,0,1,2,1,0,5
9:00AM - 9:59AM,0,1,3,5,2,2,0,13
10:00AM - 10:59AM,4,4,4,3,2,4,5,26
11:00AM - 11:59AM,1,2,5,2,1,0,3,14
12:00PM - 12:59PM,2,4,2,2,3,3,2,18
1:00PM - 1:59PM,5,1,5,3,3,3,4,24
2:00PM - 2:59PM,3,6,3,4,3,2,8,29
3:00PM - 3:59PM,3,2,14,3,3,6,1,32
4:00PM - 4:59PM,2,3,6,11,3,7,0,32
5:00PM - 5:59PM,2,4,6,4,1,1,1,19
6:00PM - 6:59PM,2,4,3,3,7,2,1,22
7:00PM - 7:59PM,5,3,7,3,6,1,2,27
8:00PM - 8:59PM,1,4,1,3,2,2,0,13
9:00PM - 9:59PM,0,1,4,2,0,2,2,11
10:00PM - 10:59PM,1,2,1,1,0,2,1,8
11:00PM - 11:59PM,0,1,0,0,2,0,0,3
Membership Totals:,31,48,68,52,44,40,30,313
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,2,0,1,0,0,0,3
6:00AM - 6:59AM,0,117,60,122,81,38,0,418
7:00AM - 7:59AM,0,60,40,61,50,42,0,253
8:00AM - 8:59AM,0,154,158,141,156,49,0,658
9:00AM - 9:59AM,4,242,239,244,214,102,0,1045
10:00AM - 10:59AM,147,193,221,213,216,145,188,1323
11:00AM - 11:59AM,131,261,306,275,310,210,113,1606
12:00PM - 12:59PM,91,220,255,258,238,169,104,1335
1:00PM - 1:59PM,113,350,296,328,242,171,118,1618
2:00PM - 2:59PM,66,258,211,287,177,224,127,1350
3:00PM - 3:59PM,113,348,292,274,284,187,134,1632
4:00PM - 4:59PM,129,284,275,250,223,194,121,1476
5:00PM - 5:59PM,140,298,284,311,282,163,114,1592
6:00PM - 6:59PM,149,289,309,325,236,166,109,1583
7:00PM - 7:59PM,111,260,260,243,273,183,123,1453
8:00PM - 8:59PM,92,222,198,213,163,95,95,1078
9:00PM - 9:59PM,79,161,140,130,125,82,64,781
10:00PM - 10:59PM,59,81,84,96,94,48,58,520
11:00PM - 11:59PM,11,17,15,16,13,12,18,102
Membership Totals:,1435,3817,3643,3788,3377,2280,1486,19826
Membership Type: Faculty/Staff,,,,,,,,
5:00AM - 5:59AM,0,1,1,1,1,2,0,6
6:00AM - 6:59AM,0,3,5,5,2,4,0,19
7:00AM - 7:59AM,0,9,13,5,11,6,0,44
8:00AM - 8:59AM,0,4,5,10,8,3,0,30
9:00AM - 9:59AM,0,6,5,4,7,3,0,25
10:00AM - 10:59AM,8,9,8,4,2,3,9,43
11:00AM - 11:59AM,0,29,25,21,25,17,2,119
12:00PM - 12:59PM,6,19,13,21,12,18,2,91
1:00PM - 1:59PM,2,5,6,2,10,5,4,34
2:00PM - 2:59PM,3,10,2,3,1,9,0,28
3:00PM - 3:59PM,2,7,7,8,8,6,5,43
4:00PM - 4:59PM,5,11,2,14,10,8,7,57
5:00PM - 5:59PM,5,22,16,7,17,13,5,85
6:00PM - 6:59PM,4,7,9,4,9,3,2,38
7:00PM - 7:59PM,5,2,6,2,3,3,1,22
8:00PM - 8:59PM,2,0,1,0,1,0,0,4
9:00PM - 9:59PM,0,0,1,3,1,0,0,5
10:00PM - 10:59PM,0,0,0,0,1,1,0,2
Membership Totals:,42,144,125,114,129,104,37,695
Membership Type: NCU Semester Membership,,,,,,,,
6:00AM - 6:59AM,0,0,6,0,1,1,0,8
11:00AM - 11:59AM,0,0,0,1,1,0,0,2
12:00PM - 12:59PM,0,0,0,1,0,0,0,1
1:00PM - 1:59PM,0,1,0,0,0,0,1,2
2:00PM - 2:59PM,0,0,1,0,0,0,0,1
