Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Nov 11, 2019 12:00 AM to Sun, Nov 17, 2019 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,1,1,2,0,5
7:00AM - 7:59AM,0,2,3,2,0,3,0,10
8:00AM - 8:59AM,0,1,0,0,1,4,0,6
9:00AM - 9:59AM,0,1,1,2,1,4,0,9
10:00AM - 10:59AM,2,0,1,2,0,0,0,5
11:00AM - 11:59AM,0,3,1,0,1,2,2,9
12:00PM - 12:59PM,2,0,0,1,2,0,0,5
1:00PM - 1:59PM,3,3,1,1,1,0,0,9
2:00PM - 2:59PM,0,0,2,2,1,2,0,7
3:00PM - 3:59PM,0,1,1,0,1,1,1,5
4:00PM - 4:59PM,2,1,5,0,2,0,0,10
5:00PM - 5:59PM,1,3,2,0,3,4,0,13
6:00PM - 6:59PM,0,2,2,1,0,2,0,7
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
8:00PM - 8:59PM,0,1,0,0,1,0,1,3
Membership Totals:,10,18,20,12,16,24,4,104
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,7,9,9,6,5,0,36
7:00AM - 7:59AM,0,5,2,1,6,2,0,16
8:00AM - 8:59AM,0,1,0,3,0,1,0,5
9:00AM - 9:59AM,0,1,1,4,1,4,0,11
10:00AM - 10:59AM,2,1,1,1,1,1,7,14
11:00AM - 11:59AM,3,4,5,8,1,5,2,28
12:00PM - 12:59PM,1,1,3,5,0,2,1,13
1:00PM - 1:59PM,1,3,1,6,3,1,1,16
2:00PM - 2:59PM,1,6,1,4,3,1,6,22
3:00PM - 3:59PM,1,3,3,4,4,2,2,19
4:00PM - 4:59PM,3,3,8,3,3,4,1,25
5:00PM - 5:59PM,1,7,6,4,8,1,3,30
6:00PM - 6:59PM,2,2,4,5,5,3,0,21
7:00PM - 7:59PM,3,6,3,0,3,4,1,20
8:00PM - 8:59PM,1,2,6,0,1,0,0,10
9:00PM - 9:59PM,0,1,1,1,1,1,1,6
10:00PM - 10:59PM,0,1,0,4,1,0,0,6
11:00PM - 11:59PM,0,0,1,0,1,0,0,2
Membership Totals:,19,54,55,62,48,37,25,300
Membership Type: Club Sports - Dance - Limited Hours,,,,,,,,
10:00AM - 10:59AM,1,0,0,0,0,0,0,1
Membership Totals:,1,0,0,0,0,0,0,1
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,1,0,0,0,1
5:00PM - 5:59PM,0,2,0,0,0,0,0,2
Membership Totals:,0,2,0,1,0,0,0,3
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,0,0,0,0,0,1
7:00PM - 7:59PM,0,1,3,2,1,0,0,7
