Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Dec 2, 2019 12:00 AM to Sun, Dec 8, 2019 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,3,1,1,1,0,6
7:00AM - 7:59AM,0,0,1,2,0,3,0,6
8:00AM - 8:59AM,0,1,3,0,1,0,0,5
9:00AM - 9:59AM,0,1,2,2,2,0,0,7
10:00AM - 10:59AM,3,2,1,1,0,1,1,9
11:00AM - 11:59AM,2,1,0,1,1,1,2,8
12:00PM - 12:59PM,0,0,2,2,1,1,0,6
1:00PM - 1:59PM,1,0,0,1,0,3,0,5
2:00PM - 2:59PM,0,1,0,1,0,2,1,5
3:00PM - 3:59PM,2,0,1,2,1,3,0,9
4:00PM - 4:59PM,1,0,5,0,0,0,0,6
5:00PM - 5:59PM,2,2,2,1,0,0,0,7
6:00PM - 6:59PM,1,2,2,2,0,1,0,8
Membership Totals:,12,10,22,16,7,16,4,87
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,7,6,4,5,4,0,26
7:00AM - 7:59AM,0,3,1,0,0,1,0,5
8:00AM - 8:59AM,0,3,3,5,3,3,0,17
9:00AM - 9:59AM,0,3,3,1,4,2,0,13
10:00AM - 10:59AM,3,2,1,2,1,4,5,18
11:00AM - 11:59AM,2,1,3,1,1,4,1,13
12:00PM - 12:59PM,2,2,2,5,0,3,3,17
1:00PM - 1:59PM,2,6,2,0,5,2,1,18
2:00PM - 2:59PM,1,5,1,2,0,1,1,11
3:00PM - 3:59PM,2,2,2,3,1,1,3,14
4:00PM - 4:59PM,0,5,4,4,4,1,1,19
5:00PM - 5:59PM,5,8,3,3,3,4,3,29
6:00PM - 6:59PM,2,5,6,9,3,0,1,26
7:00PM - 7:59PM,1,2,3,1,1,1,2,11
8:00PM - 8:59PM,0,2,2,3,0,3,2,12
9:00PM - 9:59PM,1,1,2,1,0,0,0,5
10:00PM - 10:59PM,0,0,1,1,1,1,1,5
11:00PM - 11:59PM,0,0,1,0,0,0,0,1
Membership Totals:,21,57,46,45,32,35,24,260
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,2,0,3,0,0,0,5
Membership Totals:,0,2,0,3,0,0,0,5
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,2,1,0,0,0,4
7:00PM - 7:59PM,0,1,1,1,1,0,0,4
Membership Totals:,0,2,3,2,1,0,0,8
Membership Type: Club Sports - Wushu - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,0,0,1,0,1
6:00PM - 6:59PM,0,1,0,1,0,0,0,2
Membership Totals:,0,1,0,1,0,1,0,3
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
