Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Mar 29, 2021 12:00 AM to Sun, Apr 4, 2021 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,33,52,51,41,41,0,218
7:00AM - 7:59AM,0,101,89,118,66,74,0,448
8:00AM - 8:59AM,0,85,82,97,81,83,0,428
9:00AM - 9:59AM,0,107,141,123,139,87,6,603
10:00AM - 10:59AM,97,105,119,118,115,55,128,737
11:00AM - 11:59AM,62,68,64,71,74,92,94,525
12:00PM - 12:59PM,48,160,142,159,135,116,59,819
1:00PM - 1:59PM,64,102,83,112,100,103,74,638
2:00PM - 2:59PM,76,78,70,53,78,70,74,499
3:00PM - 3:59PM,57,78,88,63,75,73,39,473
4:00PM - 4:59PM,88,118,152,87,135,87,56,723
5:00PM - 5:59PM,9,116,132,121,116,82,2,578
6:00PM - 6:59PM,0,99,131,111,99,42,0,482
7:00PM - 7:59PM,0,5,13,18,10,7,0,53
8:00PM - 8:59PM,0,0,0,0,0,7,0,7
Membership Totals:,501,1255,1358,1302,1264,1019,532,7231
Membership Type: PE & Rec Staff,,,,,,,,
9:00AM - 9:59AM,0,0,0,1,2,0,0,3
10:00AM - 10:59AM,0,0,2,2,3,0,0,7
11:00AM - 11:59AM,0,1,0,1,0,0,0,2
12:00PM - 12:59PM,0,0,0,0,1,0,0,1
1:00PM - 1:59PM,0,1,0,0,1,0,0,2
2:00PM - 2:59PM,0,0,0,0,0,1,0,1
3:00PM - 3:59PM,0,1,1,1,2,0,0,5
4:00PM - 4:59PM,0,0,0,0,0,1,0,1
5:00PM - 5:59PM,0,0,1,0,0,0,0,1
6:00PM - 6:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,4,4,5,9,2,0,24
Membership Type: Spring 2021 - Faculty/Staff GX Turnstile Access,,,,,,,,
8:00AM - 8:59AM,0,0,0,0,0,1,0,1
11:00AM - 11:59AM,0,0,1,1,1,1,0,4
2:00PM - 2:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,1,1,1,3,0,6
Totals:,501,1259,1363,1308,1274,1024,532,7261
"Mon, Feb 10 2025 10:24A",,,,,,,,Page: 1/1
