Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jul 26, 2021 12:00 AM to Sun, Aug 1, 2021 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,1,1,0,3
7:00AM - 7:59AM,0,0,0,0,1,0,0,1
10:00AM - 10:59AM,0,0,1,0,0,0,0,1
11:00AM - 11:59AM,0,1,1,0,0,1,0,3
12:00PM - 12:59PM,0,1,1,1,0,0,2,5
2:00PM - 2:59PM,0,1,1,0,0,0,0,2
3:00PM - 3:59PM,0,0,0,0,0,0,2,2
4:00PM - 4:59PM,0,0,0,0,1,0,0,1
Membership Totals:,0,3,4,2,3,2,4,18
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,0,1,0,2
7:00AM - 7:59AM,0,0,0,0,1,0,0,1
8:00AM - 8:59AM,0,2,0,0,0,2,0,4
10:00AM - 10:59AM,0,1,0,1,2,4,0,8
11:00AM - 11:59AM,0,2,1,4,1,1,0,9
12:00PM - 12:59PM,5,1,2,1,0,0,2,11
1:00PM - 1:59PM,1,0,0,0,0,0,0,1
2:00PM - 2:59PM,1,0,0,0,0,1,1,3
3:00PM - 3:59PM,1,1,0,2,1,1,1,7
4:00PM - 4:59PM,1,5,3,1,0,1,1,12
5:00PM - 5:59PM,0,4,1,6,0,3,0,14
6:00PM - 6:59PM,0,2,4,0,3,3,0,12
Membership Totals:,9,18,11,16,8,17,5,84
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,0,1,0,0,1
7:00AM - 7:59AM,0,0,1,0,0,0,0,1
8:00AM - 8:59AM,0,0,0,0,1,0,0,1
9:00AM - 9:59AM,0,2,2,6,1,1,0,12
10:00AM - 10:59AM,0,3,1,1,3,3,0,11
11:00AM - 11:59AM,0,3,2,1,1,2,0,9
12:00PM - 12:59PM,4,2,1,0,1,0,5,13
1:00PM - 1:59PM,3,0,0,0,0,1,1,5
2:00PM - 2:59PM,1,1,3,2,1,1,1,10
3:00PM - 3:59PM,4,5,1,2,2,1,2,17
4:00PM - 4:59PM,1,2,4,2,2,2,2,15
5:00PM - 5:59PM,0,4,5,4,1,1,0,15
6:00PM - 6:59PM,0,2,2,1,2,2,0,9
7:00PM - 7:59PM,0,0,1,0,1,0,0,2
Membership Totals:,13,24,23,19,17,14,11,121
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,5,9,6,13,12,0,45
7:00AM - 7:59AM,0,5,9,4,2,3,0,23
8:00AM - 8:59AM,0,13,10,9,8,3,0,43
9:00AM - 9:59AM,0,10,7,12,8,8,0,45
10:00AM - 10:59AM,0,16,10,9,16,14,0,65
11:00AM - 11:59AM,0,16,13,14,15,10,0,68
12:00PM - 12:59PM,11,15,22,17,10,7,18,100
1:00PM - 1:59PM,12,15,11,20,13,10,11,92
2:00PM - 2:59PM,8,16,20,15,11,13,8,91
3:00PM - 3:59PM,15,11,13,22,16,10,23,110
4:00PM - 4:59PM,4,11,17,13,14,10,6,75
5:00PM - 5:59PM,0,24,29,25,23,10,0,111
6:00PM - 6:59PM,0,30,29,22,18,10,0,109
7:00PM - 7:59PM,0,4,1,2,8,3,0,18
Membership Totals:,50,191,200,190,175,123,66,995
Membership Type: Dependent/Spouse,,,,,,,,
7:00AM - 7:59AM,0,1,0,0,0,0,0,1
8:00AM - 8:59AM,0,0,1,0,1,1,0,3
10:00AM - 10:59AM,0,0,0,1,0,1,0,2
11:00AM - 11:59AM,0,0,1,1,0,0,0,2
12:00PM - 12:59PM,2,0,0,0,1,1,1,5
1:00PM - 1:59PM,1,2,0,1,0,0,1,5
2:00PM - 2:59PM,0,0,0,1,0,0,0,1
3:00PM - 3:59PM,0,2,0,1,1,1,0,5
4:00PM - 4:59PM,0,0,1,1,2,0,0,4
5:00PM - 5:59PM,0,1,0,1,1,0,0,3
Membership Totals:,3,6,3,7,6,4,2,31
Membership Type: Faculty/Staff,,,,,,,,
6:00AM - 6:59AM,0,1,2,2,5,1,0,11
7:00AM - 7:59AM,0,4,1,1,1,1,0,8
8:00AM - 8:59AM,0,1,0,0,0,0,0,1
9:00AM - 9:59AM,0,1,2,2,2,2,0,9
10:00AM - 10:59AM,0,1,1,1,3,1,0,7
11:00AM - 11:59AM,0,4,5,4,5,6,0,24
12:00PM - 12:59PM,3,3,3,2,0,3,5,19
1:00PM - 1:59PM,1,0,0,0,0,0,2,3
2:00PM - 2:59PM,2,3,0,1,1,1,1,9
3:00PM - 3:59PM,1,2,0,0,3,1,1,8
4:00PM - 4:59PM,2,4,1,2,3,1,1,14
5:00PM - 5:59PM,0,5,2,4,4,3,0,18
6:00PM - 6:59PM,0,2,2,3,0,1,0,8
7:00PM - 7:59PM,0,2,0,1,1,1,0,5
Membership Totals:,9,33,19,23,28,22,10,144
Membership Type: PE & Rec Staff,,,,,,,,
9:00AM - 9:59AM,0,1,0,0,0,0,0,1
11:00AM - 11:59AM,0,0,2,0,4,1,1,8
12:00PM - 12:59PM,0,0,0,1,1,1,0,3
1:00PM - 1:59PM,0,1,0,0,1,0,0,2
2:00PM - 2:59PM,2,1,2,2,1,0,2,10
3:00PM - 3:59PM,0,1,4,2,2,1,0,10
4:00PM - 4:59PM,0,0,1,1,2,1,1,6
5:00PM - 5:59PM,0,2,1,2,0,1,0,6
6:00PM - 6:59PM,0,1,3,1,1,0,0,6
Membership Totals:,2,7,13,9,12,5,4,52
Membership Type: Spring 2021 - Faculty/Staff GX Turnstile Access,,,,,,,,
10:00AM - 10:59AM,0,0,0,0,1,0,0,1
11:00AM - 11:59AM,0,1,1,0,1,1,0,4
Membership Totals:,0,1,1,0,2,1,0,5
Membership Type: Student Off Term,,,,,,,,
6:00AM - 6:59AM,0,5,4,7,4,0,0,20
7:00AM - 7:59AM,0,9,7,5,6,6,0,33
8:00AM - 8:59AM,0,3,7,7,2,3,0,22
9:00AM - 9:59AM,0,11,7,6,6,4,0,34
10:00AM - 10:59AM,0,6,8,12,13,11,0,50
11:00AM - 11:59AM,0,12,6,13,7,8,1,47
12:00PM - 12:59PM,11,9,7,10,9,5,16,67
1:00PM - 1:59PM,13,7,6,6,3,7,8,50
2:00PM - 2:59PM,10,4,6,11,8,8,13,60
3:00PM - 3:59PM,17,18,13,16,6,11,14,95
4:00PM - 4:59PM,5,15,17,10,11,15,5,78
5:00PM - 5:59PM,0,17,26,13,20,14,0,90
6:00PM - 6:59PM,0,20,24,22,23,9,0,98
7:00PM - 7:59PM,0,7,2,4,4,6,0,23
Membership Totals:,56,143,140,142,122,107,57,767
Totals:,142,426,414,408,373,295,159,2217
"Mon, Feb 10 2025 10:20A",,,,,,,,Page: 1/1
