Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Mar 1, 2021 12:00 AM to Sun, Mar 7, 2021 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: Current Student,,,,,,,,
5:00AM - 5:59AM,0,5,9,1,2,11,0,28
6:00AM - 6:59AM,0,41,31,44,45,31,0,192
7:00AM - 7:59AM,0,71,68,81,73,64,0,357
8:00AM - 8:59AM,0,91,85,91,79,71,0,417
9:00AM - 9:59AM,21,90,110,115,100,73,0,509
10:00AM - 10:59AM,48,56,82,45,85,45,80,441
11:00AM - 11:59AM,65,73,78,75,73,63,67,494
12:00PM - 12:59PM,36,96,92,98,116,91,43,572
1:00PM - 1:59PM,59,72,76,77,69,87,74,514
2:00PM - 2:59PM,56,65,64,64,61,79,59,448
3:00PM - 3:59PM,42,63,62,69,64,63,47,410
4:00PM - 4:59PM,61,72,84,57,77,52,61,464
5:00PM - 5:59PM,2,59,63,82,73,78,5,362
6:00PM - 6:59PM,0,76,72,72,65,52,0,337
7:00PM - 7:59PM,0,2,0,0,0,0,0,2
Membership Totals:,390,932,976,971,982,860,436,5547
Membership Type: PE & Rec Staff,,,,,,,,
9:00AM - 9:59AM,0,0,1,0,1,0,0,2
11:00AM - 11:59AM,0,0,0,0,0,2,0,2
12:00PM - 12:59PM,0,1,0,0,0,0,0,1
5:00PM - 5:59PM,0,0,1,1,0,1,0,3
Membership Totals:,0,1,2,1,1,3,0,8
Membership Type: Winter 2021 - Faculty/Staff GX Turnstile Access,,,,,,,,
11:00AM - 11:59AM,0,1,1,1,2,0,0,5
3:00PM - 3:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,1,2,1,2,0,0,6
Totals:,390,934,980,973,985,863,436,5561
"Mon, Feb 10 2025 10:21A",,,,,,,,Page: 1/1
