Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Sep 27, 2021 12:00 AM to Sun, Oct 3, 2021 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
8:00AM - 8:59AM,0,0,2,0,0,0,0,2
9:00AM - 9:59AM,0,0,0,0,1,1,0,2
10:00AM - 10:59AM,2,0,1,0,0,0,0,3
11:00AM - 11:59AM,0,1,0,1,0,3,0,5
12:00PM - 12:59PM,1,1,0,0,0,0,0,2
1:00PM - 1:59PM,0,0,0,0,0,1,0,1
2:00PM - 2:59PM,1,0,0,0,0,0,1,2
3:00PM - 3:59PM,0,0,1,0,0,0,1,2
4:00PM - 4:59PM,0,0,1,0,1,0,0,2
6:00PM - 6:59PM,0,0,0,0,1,0,0,1
7:00PM - 7:59PM,1,0,0,0,0,0,0,1
8:00PM - 8:59PM,0,0,0,0,1,0,0,1
Membership Totals:,5,2,5,1,4,5,2,24
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,3,3,4,3,0,16
7:00AM - 7:59AM,0,0,2,1,1,1,0,5
9:00AM - 9:59AM,0,2,4,4,6,2,0,18
10:00AM - 10:59AM,2,2,0,1,0,2,1,8
11:00AM - 11:59AM,2,2,2,1,2,3,1,13
12:00PM - 12:59PM,2,0,0,0,0,1,0,3
1:00PM - 1:59PM,0,1,1,1,1,1,0,5
2:00PM - 2:59PM,1,0,0,0,2,1,0,4
3:00PM - 3:59PM,1,0,3,3,2,1,0,10
4:00PM - 4:59PM,0,2,1,2,0,2,3,10
5:00PM - 5:59PM,0,4,2,2,1,1,1,11
6:00PM - 6:59PM,0,2,1,4,2,1,0,10
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
8:00PM - 8:59PM,0,0,1,0,0,0,0,1
Membership Totals:,8,18,21,22,21,19,6,115
Membership Type: Community Membership,,,,,,,,
5:00AM - 5:59AM,0,1,0,1,0,0,0,2
6:00AM - 6:59AM,0,2,3,3,2,4,0,14
7:00AM - 7:59AM,0,2,1,0,2,2,0,7
8:00AM - 8:59AM,0,0,0,0,2,0,0,2
9:00AM - 9:59AM,1,1,2,1,3,0,4,12
10:00AM - 10:59AM,4,3,1,4,4,3,2,21
11:00AM - 11:59AM,0,3,1,2,3,1,2,12
12:00PM - 12:59PM,1,1,0,1,1,1,4,9
1:00PM - 1:59PM,1,0,0,1,0,0,0,2
2:00PM - 2:59PM,1,0,0,0,2,3,2,8
3:00PM - 3:59PM,0,0,2,0,1,4,2,9
4:00PM - 4:59PM,3,4,3,6,5,4,1,26
5:00PM - 5:59PM,1,0,2,0,1,3,3,10
6:00PM - 6:59PM,0,0,3,1,2,1,0,7
7:00PM - 7:59PM,1,0,2,1,2,2,2,10
8:00PM - 8:59PM,1,0,0,2,0,0,0,3
9:00PM - 9:59PM,0,0,2,0,1,0,0,3
