Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jul 11, 2022 12:00 AM to Sun, Jul 17, 2022 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
8:00AM - 8:59AM,0,3,0,0,0,0,0,3
10:00AM - 10:59AM,0,3,0,0,0,0,0,3
11:00AM - 11:59AM,0,5,0,0,0,0,0,5
12:00PM - 12:59PM,0,5,0,0,0,0,0,5
1:00PM - 1:59PM,0,3,0,0,0,0,0,3
2:00PM - 2:59PM,0,2,0,0,0,0,0,2
4:00PM - 4:59PM,0,1,0,0,0,0,0,1
5:00PM - 5:59PM,0,5,0,0,0,0,0,5
Membership Totals:,0,27,0,0,0,0,0,27
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,0,0,0,0,0,3
10:00AM - 10:59AM,0,1,0,0,0,0,0,1
11:00AM - 11:59AM,0,2,0,0,0,0,0,2
12:00PM - 12:59PM,0,2,0,0,0,0,0,2
1:00PM - 1:59PM,0,1,0,0,0,0,0,1
3:00PM - 3:59PM,0,2,0,0,0,0,0,2
4:00PM - 4:59PM,0,6,0,0,0,0,0,6
6:00PM - 6:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,18,0,0,0,0,0,18
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,0,0,0,1
7:00AM - 7:59AM,0,1,0,0,0,0,0,1
9:00AM - 9:59AM,0,1,0,0,0,0,0,1
11:00AM - 11:59AM,0,3,0,0,0,0,0,3
12:00PM - 12:59PM,0,1,0,0,0,0,0,1
1:00PM - 1:59PM,0,1,0,0,0,0,0,1
2:00PM - 2:59PM,0,1,0,0,0,0,0,1
3:00PM - 3:59PM,0,2,0,0,0,0,0,2
4:00PM - 4:59PM,0,1,0,0,0,0,0,1
5:00PM - 5:59PM,0,2,0,0,0,0,0,2
6:00PM - 6:59PM,0,5,0,0,0,0,0,5
Membership Totals:,0,19,0,0,0,0,0,19
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,9,0,0,0,0,0,9
7:00AM - 7:59AM,0,5,0,0,0,0,0,5
8:00AM - 8:59AM,0,5,0,0,0,0,0,5
9:00AM - 9:59AM,0,13,0,0,0,0,0,13
10:00AM - 10:59AM,0,13,0,0,0,0,0,13
11:00AM - 11:59AM,0,17,0,0,0,0,0,17
12:00PM - 12:59PM,0,23,0,0,1,0,0,24
1:00PM - 1:59PM,0,22,1,0,1,0,0,24
2:00PM - 2:59PM,0,15,0,0,0,0,0,15
3:00PM - 3:59PM,0,31,0,20,0,0,0,51
4:00PM - 4:59PM,0,37,0,0,0,0,0,37
5:00PM - 5:59PM,0,29,0,0,0,0,0,29
6:00PM - 6:59PM,0,40,0,0,0,0,0,40
7:00PM - 7:59PM,0,7,0,0,0,0,0,7
Membership Totals:,0,266,1,20,2,0,0,289
Membership Type: Current Student 1,,,,,,,,
3:00PM - 3:59PM,0,16,0,0,0,0,0,16
4:00PM - 4:59PM,0,2,0,0,0,0,0,2
5:00PM - 5:59PM,0,1,0,0,0,0,0,1
6:00PM - 6:59PM,0,2,0,0,0,0,0,2
7:00PM - 7:59PM,0,1,0,0,0,0,0,1
Membership Totals:,0,22,0,0,0,0,0,22
Membership Type: Dependent/Spouse,,,,,,,,
6:00AM - 6:59AM,0,1,0,0,0,0,0,1
