Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jun 27, 2022 12:00 AM to Sun, Jul 3, 2022 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,2,0,1,0,3
7:00AM - 7:59AM,0,3,2,0,0,2,0,7
8:00AM - 8:59AM,0,1,3,3,1,1,0,9
9:00AM - 9:59AM,0,2,2,0,1,2,0,7
10:00AM - 10:59AM,0,2,1,2,0,2,0,7
11:00AM - 11:59AM,0,3,1,3,0,5,0,12
12:00PM - 12:59PM,2,2,1,3,1,3,4,16
1:00PM - 1:59PM,0,1,0,0,1,2,1,5
2:00PM - 2:59PM,1,3,1,0,1,1,1,8
3:00PM - 3:59PM,0,3,2,3,3,0,2,13
4:00PM - 4:59PM,0,5,1,5,1,2,0,14
5:00PM - 5:59PM,0,4,1,2,1,3,0,11
6:00PM - 6:59PM,0,3,3,3,1,3,0,13
7:00PM - 7:59PM,0,1,0,0,0,0,0,1
Membership Totals:,3,33,18,26,11,27,8,126
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,2,2,0,1,2,0,7
7:00AM - 7:59AM,0,1,0,0,0,0,0,1
10:00AM - 10:59AM,0,1,0,2,1,2,0,6
11:00AM - 11:59AM,0,2,1,1,0,2,0,6
12:00PM - 12:59PM,3,3,0,2,1,2,1,12
1:00PM - 1:59PM,2,1,2,1,1,0,2,9
2:00PM - 2:59PM,0,2,1,0,1,1,0,5
3:00PM - 3:59PM,3,0,2,0,1,2,2,10
4:00PM - 4:59PM,0,1,3,6,2,1,1,14
5:00PM - 5:59PM,0,2,3,1,2,2,0,10
6:00PM - 6:59PM,0,4,2,4,5,2,0,17
Membership Totals:,8,19,16,17,15,16,6,97
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,0,0,0,0,1
7:00AM - 7:59AM,0,0,1,2,1,0,0,4
8:00AM - 8:59AM,0,0,0,1,0,0,0,1
11:00AM - 11:59AM,0,3,5,3,2,1,0,14
12:00PM - 12:59PM,1,0,1,1,1,4,1,9
1:00PM - 1:59PM,1,2,1,0,2,1,2,9
2:00PM - 2:59PM,1,3,0,3,0,0,1,8
3:00PM - 3:59PM,0,2,3,0,1,3,2,11
4:00PM - 4:59PM,1,1,2,3,3,4,2,16
5:00PM - 5:59PM,0,3,2,4,6,3,0,18
6:00PM - 6:59PM,0,3,5,1,1,1,0,11
Membership Totals:,4,17,21,18,17,17,8,102
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,13,6,8,4,4,0,35
7:00AM - 7:59AM,0,8,5,9,6,6,0,34
8:00AM - 8:59AM,0,8,3,9,4,2,0,26
9:00AM - 9:59AM,0,14,8,14,6,8,0,50
10:00AM - 10:59AM,0,13,14,11,11,17,0,66
