Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Oct 17, 2022 12:00 AM to Sun, Oct 23, 2022 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,2,2,0,0,5
7:00AM - 7:59AM,0,0,2,0,0,1,0,3
8:00AM - 8:59AM,0,0,0,0,0,2,0,2
9:00AM - 9:59AM,1,1,1,1,0,0,1,5
10:00AM - 10:59AM,1,5,0,0,1,5,2,14
11:00AM - 11:59AM,2,2,4,2,4,2,0,16
12:00PM - 12:59PM,1,4,1,2,0,2,0,10
1:00PM - 1:59PM,0,0,1,0,1,1,0,3
3:00PM - 3:59PM,0,3,1,0,1,2,0,7
4:00PM - 4:59PM,1,2,0,0,0,5,1,9
5:00PM - 5:59PM,0,0,2,1,2,1,0,6
6:00PM - 6:59PM,1,1,1,2,2,0,1,8
7:00PM - 7:59PM,0,1,0,0,1,1,0,3
Membership Totals:,7,19,14,10,14,22,5,91
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,2,3,1,1,0,10
7:00AM - 7:59AM,0,1,2,0,1,2,0,6
9:00AM - 9:59AM,3,0,1,1,2,3,2,12
10:00AM - 10:59AM,3,4,2,4,1,2,2,18
11:00AM - 11:59AM,1,5,3,5,3,7,0,24
12:00PM - 12:59PM,1,3,2,2,0,0,1,9
1:00PM - 1:59PM,1,1,1,0,1,1,1,6
2:00PM - 2:59PM,2,0,0,0,1,0,0,3
3:00PM - 3:59PM,1,4,2,6,1,2,0,16
4:00PM - 4:59PM,5,3,3,5,5,1,0,22
5:00PM - 5:59PM,0,6,4,6,0,5,2,23
6:00PM - 6:59PM,1,4,5,3,2,2,0,17
7:00PM - 7:59PM,0,1,1,1,3,2,0,8
8:00PM - 8:59PM,0,1,0,0,0,0,0,1
10:00PM - 10:59PM,0,1,0,0,0,0,0,1
Membership Totals:,18,37,28,36,21,28,8,176
Membership Type: Bushnell ,,,,,,,,
11:00AM - 11:59AM,0,0,0,0,0,1,0,1
12:00PM - 12:59PM,1,1,0,0,0,0,0,2
5:00PM - 5:59PM,0,0,0,2,1,0,0,3
6:00PM - 6:59PM,0,0,0,1,0,0,0,1
7:00PM - 7:59PM,1,0,0,0,0,0,1,2
10:00PM - 10:59PM,0,0,0,1,0,0,0,1
Membership Totals:,2,1,0,4,1,1,1,10
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,0,1,1,0,0,3
7:00PM - 7:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,1,1,1,1,0,0,4
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,1,0,1,1,0,0,3
Membership Totals:,0,1,0,1,1,0,0,3
Membership Type: Community Membership,,,,,,,,
