Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Sep 26, 2022 12:00 AM to Sun, Oct 2, 2022 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,2,1,0,0,5
7:00AM - 7:59AM,0,0,2,1,0,0,0,3
8:00AM - 8:59AM,0,1,0,0,1,0,0,2
9:00AM - 9:59AM,1,1,0,0,0,0,3,5
10:00AM - 10:59AM,0,3,1,2,1,0,1,8
11:00AM - 11:59AM,1,7,2,3,1,3,2,19
12:00PM - 12:59PM,2,3,0,1,0,4,0,10
1:00PM - 1:59PM,0,1,0,0,0,1,1,3
2:00PM - 2:59PM,0,0,1,0,1,0,0,2
3:00PM - 3:59PM,0,0,2,1,0,1,2,6
4:00PM - 4:59PM,1,1,1,3,2,0,3,11
5:00PM - 5:59PM,1,4,2,4,3,1,0,15
6:00PM - 6:59PM,0,0,0,1,1,0,0,2
7:00PM - 7:59PM,1,1,2,0,1,1,0,6
8:00PM - 8:59PM,0,0,1,0,0,0,0,1
Membership Totals:,7,23,15,18,12,11,12,98
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,6,1,0,0,0,10
7:00AM - 7:59AM,0,2,1,0,2,1,0,6
8:00AM - 8:59AM,0,0,1,0,1,0,0,2
9:00AM - 9:59AM,1,2,1,2,1,1,2,10
10:00AM - 10:59AM,0,1,0,2,1,5,2,11
11:00AM - 11:59AM,2,5,1,7,0,3,3,21
12:00PM - 12:59PM,4,2,1,0,2,1,1,11
1:00PM - 1:59PM,1,3,1,2,2,1,0,10
2:00PM - 2:59PM,1,0,1,0,0,1,0,3
3:00PM - 3:59PM,1,3,3,0,3,1,0,11
4:00PM - 4:59PM,1,2,1,2,3,2,2,13
5:00PM - 5:59PM,2,1,0,3,1,1,0,8
6:00PM - 6:59PM,1,1,3,4,3,1,1,14
7:00PM - 7:59PM,0,0,0,1,0,1,2,4
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
9:00PM - 9:59PM,0,0,0,0,1,0,0,1
Membership Totals:,14,25,20,25,20,19,13,136
Membership Type: Bushnell Semester Membership,,,,,,,,
11:00AM - 11:59AM,0,0,0,0,0,1,0,1
12:00PM - 12:59PM,0,1,0,0,0,0,0,1
4:00PM - 4:59PM,0,0,0,2,0,0,0,2
5:00PM - 5:59PM,0,0,0,0,1,0,0,1
6:00PM - 6:59PM,1,0,0,0,1,0,1,3
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
Membership Totals:,1,1,0,3,2,1,1,9
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,1,3,3,0,9
7:00AM - 7:59AM,0,0,2,0,0,1,0,3
8:00AM - 8:59AM,0,1,3,1,0,0,0,5
9:00AM - 9:59AM,4,2,1,1,3,0,2,13
