Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jul 24, 2023 12:00 AM to Sun, Jul 30, 2023 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,1,0,0,2,0,4
7:00AM - 7:59AM,0,1,2,2,0,2,0,7
8:00AM - 8:59AM,0,1,1,1,4,1,0,8
9:00AM - 9:59AM,0,0,1,1,2,1,0,5
10:00AM - 10:59AM,0,2,2,1,0,2,0,7
11:00AM - 11:59AM,0,3,1,4,3,2,0,13
12:00PM - 12:59PM,0,1,3,2,0,6,2,14
1:00PM - 1:59PM,0,2,1,1,1,0,2,7
2:00PM - 2:59PM,0,4,0,2,1,3,1,11
3:00PM - 3:59PM,0,4,2,0,2,0,1,9
4:00PM - 4:59PM,0,3,2,4,2,2,0,13
5:00PM - 5:59PM,0,4,4,4,4,2,0,18
6:00PM - 6:59PM,0,4,2,4,7,0,0,17
Membership Totals:,0,30,22,26,26,23,6,133
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,4,1,5,0,2,0,12
8:00AM - 8:59AM,0,1,1,2,0,1,0,5
9:00AM - 9:59AM,0,0,0,2,0,0,0,2
10:00AM - 10:59AM,0,2,0,4,1,3,0,10
11:00AM - 11:59AM,0,3,0,2,2,2,0,9
12:00PM - 12:59PM,0,4,1,0,2,2,6,15
1:00PM - 1:59PM,0,2,1,1,0,0,3,7
2:00PM - 2:59PM,0,1,2,2,2,3,3,13
3:00PM - 3:59PM,0,7,3,1,2,2,4,19
4:00PM - 4:59PM,0,5,3,2,4,1,4,19
5:00PM - 5:59PM,0,2,3,3,3,1,0,12
6:00PM - 6:59PM,0,4,2,4,3,0,0,13
7:00PM - 7:59PM,0,1,0,1,0,0,0,2
Membership Totals:,0,36,17,29,19,17,20,138
Membership Type: Bushnell ,,,,,,,,
11:00AM - 11:59AM,0,0,0,0,0,1,0,1
12:00PM - 12:59PM,0,1,0,0,0,0,0,1
5:00PM - 5:59PM,0,0,1,0,1,0,0,2
Membership Totals:,0,1,1,0,1,1,0,4
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,0,1,1,0,0,0,2
7:00AM - 7:59AM,0,1,0,4,0,0,0,5
8:00AM - 8:59AM,0,2,3,1,2,1,0,9
9:00AM - 9:59AM,0,1,0,0,0,0,0,1
10:00AM - 10:59AM,0,1,1,0,2,1,0,5
11:00AM - 11:59AM,0,3,3,5,0,1,0,12
12:00PM - 12:59PM,0,1,2,4,2,5,5,19
1:00PM - 1:59PM,0,1,3,2,3,1,3,13
2:00PM - 2:59PM,0,2,19,1,5,0,7,34
3:00PM - 3:59PM,0,3,4,0,3,3,1,14
4:00PM - 4:59PM,0,2,7,6,3,1,0,19
5:00PM - 5:59PM,0,6,5,5,2,2,0,20
