Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jun 5, 2023 12:00 AM to Sun, Jun 11, 2023 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,2,3,1,0,0,7
7:00AM - 7:59AM,0,0,1,0,0,1,0,2
8:00AM - 8:59AM,0,1,0,1,1,0,0,3
9:00AM - 9:59AM,2,1,1,0,1,1,3,9
10:00AM - 10:59AM,1,3,1,2,0,2,2,11
11:00AM - 11:59AM,2,4,1,1,2,6,0,16
12:00PM - 12:59PM,3,0,1,1,1,1,1,8
1:00PM - 1:59PM,2,2,0,1,2,0,1,8
2:00PM - 2:59PM,1,0,1,1,2,3,3,11
3:00PM - 3:59PM,1,0,1,3,2,3,0,10
4:00PM - 4:59PM,0,1,2,5,0,6,1,15
5:00PM - 5:59PM,0,2,2,4,0,1,1,10
6:00PM - 6:59PM,2,4,2,4,0,2,0,14
7:00PM - 7:59PM,0,1,3,1,0,2,1,8
8:00PM - 8:59PM,0,2,1,1,0,0,0,4
9:00PM - 9:59PM,0,1,1,0,0,0,0,2
Membership Totals:,14,23,20,28,12,28,13,138
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,10,2,5,3,3,0,23
7:00AM - 7:59AM,0,0,1,3,3,0,0,7
8:00AM - 8:59AM,0,0,1,2,1,1,0,5
9:00AM - 9:59AM,3,2,1,3,0,2,3,14
10:00AM - 10:59AM,2,2,2,3,3,2,0,14
11:00AM - 11:59AM,3,3,1,3,3,3,4,20
12:00PM - 12:59PM,2,4,2,2,0,0,2,12
1:00PM - 1:59PM,2,0,1,0,0,0,1,4
2:00PM - 2:59PM,0,1,0,1,1,2,2,7
3:00PM - 3:59PM,0,1,2,1,1,2,3,10
4:00PM - 4:59PM,2,4,5,4,1,1,1,18
5:00PM - 5:59PM,1,6,3,5,0,2,0,17
6:00PM - 6:59PM,0,3,5,6,0,6,0,20
7:00PM - 7:59PM,2,3,3,4,0,0,0,12
8:00PM - 8:59PM,0,0,2,1,0,0,0,3
9:00PM - 9:59PM,0,0,1,0,0,0,0,1
Membership Totals:,17,39,32,43,16,24,16,187
Membership Type: Club Sports - Kendo - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,1,0,0,0,0,1
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,2,0,0,0,0,0,2
5:00PM - 5:59PM,0,0,0,2,0,0,0,2
Membership Totals:,0,2,0,2,0,0,0,4
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,1,2,5,5,2,0,15
7:00AM - 7:59AM,0,1,1,2,1,0,0,5
8:00AM - 8:59AM,0,1,2,1,1,1,0,6
9:00AM - 9:59AM,1,0,1,3,0,2,7,14
