Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Apr 17, 2023 12:00 AM to Sun, Apr 23, 2023 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,1,0,4,1,2,0,8
7:00AM - 7:59AM,0,2,1,3,2,0,0,8
8:00AM - 8:59AM,0,3,1,0,0,4,0,8
9:00AM - 9:59AM,3,1,0,0,1,1,3,9
10:00AM - 10:59AM,3,2,1,3,2,3,2,16
11:00AM - 11:59AM,0,2,1,3,3,4,1,14
12:00PM - 12:59PM,1,1,0,2,1,0,0,5
1:00PM - 1:59PM,3,0,0,0,0,1,1,5
2:00PM - 2:59PM,1,0,1,1,0,1,1,5
3:00PM - 3:59PM,2,0,0,2,4,0,0,8
4:00PM - 4:59PM,2,0,1,2,1,1,1,8
5:00PM - 5:59PM,2,2,4,0,3,1,1,13
6:00PM - 6:59PM,0,5,3,3,0,1,0,12
7:00PM - 7:59PM,0,2,2,2,0,1,0,7
8:00PM - 8:59PM,0,0,2,1,1,0,0,4
9:00PM - 9:59PM,0,1,0,1,0,0,0,2
Membership Totals:,17,22,17,27,19,20,10,132
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,10,8,5,2,1,0,26
7:00AM - 7:59AM,0,2,2,2,2,0,0,8
8:00AM - 8:59AM,0,1,2,1,2,3,0,9
9:00AM - 9:59AM,2,2,1,1,1,4,5,16
10:00AM - 10:59AM,3,1,1,4,0,3,3,15
11:00AM - 11:59AM,5,4,5,3,4,3,1,25
12:00PM - 12:59PM,3,3,1,4,2,3,4,20
1:00PM - 1:59PM,2,0,2,3,0,0,2,9
2:00PM - 2:59PM,4,3,3,4,0,5,0,19
3:00PM - 3:59PM,1,1,2,2,2,3,1,12
4:00PM - 4:59PM,3,5,6,3,5,5,0,27
5:00PM - 5:59PM,1,8,5,4,4,4,2,28
6:00PM - 6:59PM,0,5,6,7,2,1,1,22
7:00PM - 7:59PM,0,5,0,3,2,6,3,19
8:00PM - 8:59PM,1,1,1,2,2,1,0,8
9:00PM - 9:59PM,0,1,0,2,0,0,0,3
Membership Totals:,25,52,45,50,30,42,22,266
Membership Type: Bushnell ,,,,,,,,
11:00AM - 11:59AM,0,1,0,0,0,1,0,2
7:00PM - 7:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,1,0,1,0,1,0,3
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,1,1,1,0,0,4
Membership Totals:,0,1,1,1,1,0,0,4
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,0,0,2,0,0,0,2
5:00PM - 5:59PM,0,2,0,0,0,0,0,2
Membership Totals:,0,2,0,2,0,0,0,4
Membership Type: Community Membership,,,,,,,,
