Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Dec 2, 2024 12:00 AM to Sun, Dec 8, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,5,1,3,2,0,0,11
8:00AM - 8:59AM,0,0,2,0,0,1,0,3
9:00AM - 9:59AM,0,0,1,1,1,0,3,6
10:00AM - 10:59AM,0,1,0,1,0,1,2,5
11:00AM - 11:59AM,2,3,3,3,0,1,0,12
12:00PM - 12:59PM,0,3,2,0,3,0,2,10
1:00PM - 1:59PM,2,0,0,0,1,2,0,5
3:00PM - 3:59PM,1,3,1,1,1,1,0,8
4:00PM - 4:59PM,0,3,0,1,3,0,0,7
5:00PM - 5:59PM,0,5,6,0,2,3,0,16
6:00PM - 6:59PM,0,0,3,0,3,0,1,7
7:00PM - 7:59PM,1,1,0,2,1,0,0,5
Membership Totals:,6,24,19,12,17,9,8,95
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,3,4,2,3,0,0,12
7:00AM - 7:59AM,0,0,2,1,2,0,0,5
8:00AM - 8:59AM,0,0,1,1,0,0,0,2
9:00AM - 9:59AM,0,2,0,4,0,3,1,10
10:00AM - 10:59AM,0,4,2,1,3,0,1,11
11:00AM - 11:59AM,2,2,3,2,1,5,1,16
12:00PM - 12:59PM,1,2,1,0,1,1,4,10
1:00PM - 1:59PM,2,1,4,1,2,0,3,13
2:00PM - 2:59PM,0,1,2,1,2,0,0,6
3:00PM - 3:59PM,1,0,0,0,0,0,0,1
4:00PM - 4:59PM,0,3,1,5,1,3,0,13
5:00PM - 5:59PM,2,8,4,4,4,1,0,23
6:00PM - 6:59PM,2,4,3,2,1,1,1,14
7:00PM - 7:59PM,1,5,3,1,0,0,1,11
8:00PM - 8:59PM,1,1,2,3,1,1,0,9
9:00PM - 9:59PM,0,3,2,3,2,0,0,10
10:00PM - 10:59PM,0,1,0,0,0,0,0,1
Membership Totals:,12,40,34,31,23,15,12,167
Membership Type: Club Sports - Kendo - Limited Hours,,,,,,,,
8:00PM - 8:59PM,0,0,0,1,0,0,0,1
Membership Totals:,0,0,0,1,0,0,0,1
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,0,1,1,0,0,2
Membership Totals:,0,0,0,1,1,0,0,2
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,2,0,2,2,0,0,6
Membership Totals:,0,2,0,2,2,0,0,6
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,2,4,2,3,2,0,13
7:00AM - 7:59AM,0,3,3,2,2,2,0,12
8:00AM - 8:59AM,0,1,0,0,1,0,0,2
9:00AM - 9:59AM,1,2,2,3,3,0,1,12
10:00AM - 10:59AM,0,3,2,2,2,1,1,11
