Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Jan 29, 2024 12:00 AM to Sun, Feb 4, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,0,2,2,0,4
7:00AM - 7:59AM,0,0,0,0,0,1,0,1
8:00AM - 8:59AM,0,2,1,1,0,0,0,4
9:00AM - 9:59AM,0,1,1,1,1,1,3,8
10:00AM - 10:59AM,4,0,1,0,0,3,2,10
11:00AM - 11:59AM,2,3,1,2,0,1,1,10
12:00PM - 12:59PM,2,2,1,2,1,2,0,10
1:00PM - 1:59PM,1,1,0,1,2,0,3,8
2:00PM - 2:59PM,0,1,0,0,0,0,1,2
3:00PM - 3:59PM,0,1,1,1,1,0,0,4
4:00PM - 4:59PM,0,4,3,2,1,1,2,13
5:00PM - 5:59PM,0,3,0,3,1,1,0,8
6:00PM - 6:59PM,1,2,5,3,2,1,0,14
7:00PM - 7:59PM,0,1,1,1,0,0,0,3
8:00PM - 8:59PM,0,0,0,0,1,0,0,1
Membership Totals:,10,21,15,17,12,13,12,100
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,8,4,4,7,7,0,30
7:00AM - 7:59AM,0,1,1,1,2,1,0,6
8:00AM - 8:59AM,0,0,3,2,3,0,0,8
9:00AM - 9:59AM,1,4,0,2,2,3,5,17
10:00AM - 10:59AM,2,2,2,2,0,1,1,10
11:00AM - 11:59AM,1,1,2,2,2,3,0,11
12:00PM - 12:59PM,7,1,1,1,1,0,3,14
1:00PM - 1:59PM,3,1,2,2,0,3,1,12
2:00PM - 2:59PM,1,0,0,1,1,0,2,5
3:00PM - 3:59PM,0,2,3,0,1,5,0,11
4:00PM - 4:59PM,2,8,1,10,3,6,0,30
5:00PM - 5:59PM,1,7,3,2,2,3,3,21
6:00PM - 6:59PM,2,5,5,3,4,4,1,24
7:00PM - 7:59PM,1,3,1,5,2,2,1,15
8:00PM - 8:59PM,0,2,2,5,1,0,1,11
9:00PM - 9:59PM,0,1,1,0,0,0,0,2
Membership Totals:,21,46,31,42,31,38,18,227
Membership Type: Bushnell ,,,,,,,,
9:00AM - 9:59AM,0,1,0,0,0,0,0,1
1:00PM - 1:59PM,0,0,0,0,0,1,0,1
2:00PM - 2:59PM,0,0,0,0,1,0,0,1
3:00PM - 3:59PM,0,0,0,1,0,0,0,1
4:00PM - 4:59PM,0,0,0,0,1,0,2,3
5:00PM - 5:59PM,0,0,0,1,0,0,0,1
6:00PM - 6:59PM,0,1,0,0,0,0,0,1
7:00PM - 7:59PM,0,0,0,0,1,0,1,2
Membership Totals:,0,2,0,2,3,1,3,11
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,1,0,0,0,0,1
