Usage By Hour And Day Grouped By Membership,,,,,,,,
Parameters,,,,,,,,
"Mon, Feb 26, 2024 12:00 AM to Sun, Mar 3, 2024 11:59 PM",,,,,,,,
"Readers: Turnstile 1 Barcode - Facility: Control Desk - Main Access, Turnstile 2 Barcode - Facility: Control Desk - Main Access, Turnstile 3 Barcode - Facility: Control Desk - Main Access, Turnstile 4 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 Barcode - Facility: Control Desk - Main Access, Turnstile 5 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 6 HKII - Facility: Control Desk - Main Access, Turnstile 6 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode - Facility: Control Desk - Main Access, Turnstile 7 Barcode  - Facility: Control Desk - Main Access, Turnstile 7 HKII - Facility: Control Desk - Main Access, Turnstile 8 Barcode - Facility: Control Desk - Main Access, Turnstile 8 Barcode  - Facility: Control Desk - Main Access, Turnstile 8 HKII - Facility: Control Desk - Main Access, Welcome Desk 2 - Access - Facility: Welcome Desk, Barcode 9 - Facility: Main Equipment Issue (DELETED), Barcode 9 - Facility: Main Equipment Issue (DELETED), Turnstile 1 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 1 HKII-copy - Facility: Control Desk - Main Access (DELETED), Turnstile 2 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 2 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 3 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 3 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 4 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 4 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 5 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 Barcode - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 6 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 7 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 8 - Facility: Control Desk - Main Access (DELETED), Turnstile 8 HKII - Facility: Control Desk - Main Access (DELETED), Turnstile 9 Barcode  - Facility: Main Equipment Issue (DELETED)",,,,,,,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,,,,,,,
Memberships: All Memberships,,,,,,,,
Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Total
Membership Type: No Membership,,,,,,,,
6:00AM - 6:59AM,0,0,0,1,1,1,0,3
7:00AM - 7:59AM,0,0,0,1,2,0,0,3
8:00AM - 8:59AM,0,3,1,0,1,0,0,5
9:00AM - 9:59AM,3,0,0,0,0,2,1,6
10:00AM - 10:59AM,0,0,0,2,0,0,1,3
11:00AM - 11:59AM,0,2,1,2,1,4,1,11
12:00PM - 12:59PM,1,0,4,2,2,0,2,11
1:00PM - 1:59PM,1,2,0,0,1,0,3,7
2:00PM - 2:59PM,0,0,0,2,1,1,1,5
3:00PM - 3:59PM,0,1,0,0,0,1,1,3
4:00PM - 4:59PM,0,3,1,1,3,1,1,10
5:00PM - 5:59PM,0,0,4,1,3,1,1,10
6:00PM - 6:59PM,1,1,5,2,1,1,0,11
7:00PM - 7:59PM,0,1,1,0,1,0,1,4
9:00PM - 9:59PM,0,0,0,0,2,0,0,2
Membership Totals:,6,13,17,14,19,12,13,94
Membership Type: Alumni Members,,,,,,,,
6:00AM - 6:59AM,0,9,8,7,6,1,0,31
7:00AM - 7:59AM,0,3,2,3,3,1,0,12
8:00AM - 8:59AM,0,3,2,3,2,2,0,12
9:00AM - 9:59AM,1,5,2,2,0,3,8,21
10:00AM - 10:59AM,3,1,2,1,4,2,4,17
11:00AM - 11:59AM,3,2,1,1,0,1,3,11
12:00PM - 12:59PM,1,0,3,3,3,0,1,11
1:00PM - 1:59PM,4,2,0,3,2,0,0,11
2:00PM - 2:59PM,1,0,2,1,0,2,1,7
3:00PM - 3:59PM,0,1,2,1,4,0,5,13
4:00PM - 4:59PM,2,5,4,4,5,2,3,25
5:00PM - 5:59PM,2,5,10,4,1,2,2,26
6:00PM - 6:59PM,4,4,3,0,2,8,0,21
7:00PM - 7:59PM,1,4,2,1,3,1,2,14
8:00PM - 8:59PM,0,0,2,0,0,0,0,2
9:00PM - 9:59PM,0,1,1,1,2,0,0,5
Membership Totals:,22,45,46,35,37,25,29,239
Membership Type: Bushnell ,,,,,,,,
12:00PM - 12:59PM,1,0,0,1,0,0,0,2
4:00PM - 4:59PM,0,1,0,0,0,1,0,2
5:00PM - 5:59PM,0,0,0,0,0,0,1,1
6:00PM - 6:59PM,0,0,0,0,0,1,0,1
Membership Totals:,1,1,0,1,0,2,1,6
Membership Type: Club Sports - Jiu Jitsu - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,1,0,0,0,0,1
Membership Type: Club Sports - Kendo - Limited Hours,,,,,,,,
5:00PM - 5:59PM,0,0,0,0,0,1,0,1
Membership Totals:,0,0,0,0,0,1,0,1
Membership Type: Club Sports - Swim - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,0,1,0,1,0,0,2
Membership Totals:,0,0,1,0,1,0,0,2
Membership Type: Club Sports - Weightlifting - Limited Hours,,,,,,,,
6:00PM - 6:59PM,0,1,1,0,0,0,0,2
Membership Totals:,0,1,1,0,0,0,0,2
Membership Type: Club Sports- W Water Polo- Limited Hours,,,,,,,,
7:00PM - 7:59PM,0,0,0,0,1,0,0,1
8:00PM - 8:59PM,0,0,1,0,0,0,0,1
Membership Totals:,0,0,1,0,1,0,0,2
Membership Type: Club Sports- Wrestling - Limited Hours,,,,,,,,
4:00PM - 4:59PM,0,2,0,2,0,0,0,4
5:00PM - 5:59PM,0,0,0,0,2,0,0,2
Membership Totals:,0,2,0,2,2,0,0,6
Membership Type: Community Membership,,,,,,,,
6:00AM - 6:59AM,0,5,5,3,4,0,0,17
7:00AM - 7:59AM,0,1,2,2,2,3,0,10
8:00AM - 8:59AM,0,5,2,1,1,0,0,9
9:00AM - 9:59AM,1,1,1,3,1,2,0,9
10:00AM - 10:59AM,4,0,1,1,0,3,2,11
11:00AM - 11:59AM,5,0,2,1,3,2,2,15
12:00PM - 12:59PM,3,2,2,0,4,2,3,16
1:00PM - 1:59PM,2,2,2,0,2,0,2,10
2:00PM - 2:59PM,0,1,4,0,2,0,4,11
3:00PM - 3:59PM,1,5,2,6,4,8,4,30
4:00PM - 4:59PM,1,5,3,7,1,4,1,22
5:00PM - 5:59PM,3,2,5,9,4,0,1,24
6:00PM - 6:59PM,1,7,5,6,4,0,2,25
7:00PM - 7:59PM,1,5,1,3,1,0,0,11
8:00PM - 8:59PM,0,1,0,3,0,0,0,4
9:00PM - 9:59PM,0,0,3,1,1,0,0,5
Membership Totals:,22,42,40,46,34,24,21,229
Membership Type: Courtesy,,,,,,,,
7:00AM - 7:59AM,0,1,0,0,0,0,0,1
Membership Totals:,0,1,0,0,0,0,0,1
Membership Type: Current Student,,,,,,,,
6:00AM - 6:59AM,0,158,126,152,107,73,0,616
7:00AM - 7:59AM,0,198,188,223,134,73,0,816
8:00AM - 8:59AM,0,260,269,272,185,104,0,1090
9:00AM - 9:59AM,95,235,289,243,254,139,144,1399
10:00AM - 10:59AM,107,246,314,294,287,235,148,1631
11:00AM - 11:59AM,150,328,323,298,275,255,196,1825
12:00PM - 12:59PM,206,307,250,265,235,230,179,1672
1:00PM - 1:59PM,185,317,406,342,368,295,212,2125
2:00PM - 2:59PM,228,264,376,250,310,244,221,1893
3:00PM - 3:59PM,220,373,391,324,286,288,172,2054
4:00PM - 4:59PM,221,389,352,377,412,304,198,2253
5:00PM - 5:59PM,275,468,498,477,449,291,161,2619
6:00PM - 6:59PM,252,573,572,495,403,215,158,2668
7:00PM - 7:59PM,192,407,468,374,395,151,121,2108
8:00PM - 8:59PM,28,380,305,247,262,45,60,1327
9:00PM - 9:59PM,0,211,209,170,186,0,0,776
10:00PM - 10:59PM,0,35,25,38,22,0,0,120
Membership Totals:,2159,5149,5361,4841,4570,2942,1970,26992
Membership Type: Dependent/Spouse,,,,,,,,
6:00AM - 6:59AM,0,0,2,2,1,0,0,5
7:00AM - 7:59AM,0,0,0,0,2,1,0,3
8:00AM - 8:59AM,0,1,1,1,1,1,0,5
9:00AM - 9:59AM,0,2,3,2,3,2,1,13
10:00AM - 10:59AM,2,5,1,4,2,3,2,19
11:00AM - 11:59AM,1,2,0,2,3,0,3,11
12:00PM - 12:59PM,3,1,2,0,0,3,2,11
1:00PM - 1:59PM,2,1,1,0,0,0,1,5
2:00PM - 2:59PM,1,1,1,0,1,1,1,6
3:00PM - 3:59PM,0,2,1,0,1,0,0,4
4:00PM - 4:59PM,1,2,1,4,1,2,0,11
5:00PM - 5:59PM,0,3,2,2,2,3,4,16
6:00PM - 6:59PM,1,5,4,2,3,2,0,17
7:00PM - 7:59PM,1,1,0,2,0,1,0,5
8:00PM - 8:59PM,0,1,1,0,1,0,1,4
9:00PM - 9:59PM,0,1,1,2,2,0,0,6
Membership Totals:,12,28,21,23,23,19,15,141
Membership Type: Faculty/Staff,,,,,,,,
6:00AM - 6:59AM,0,9,7,12,4,7,0,39
7:00AM - 7:59AM,0,14,6,12,8,7,0,47
8:00AM - 8:59AM,0,3,3,4,2,2,0,14
9:00AM - 9:59AM,6,5,4,3,4,5,3,30
10:00AM - 10:59AM,6,2,5,8,9,4,5,39
11:00AM - 11:59AM,4,22,20,14,11,14,5,90
12:00PM - 12:59PM,1,13,10,7,14,14,1,60
1:00PM - 1:59PM,5,5,3,2,0,1,5,21
2:00PM - 2:59PM,2,5,2,1,3,3,8,24
3:00PM - 3:59PM,0,5,5,4,4,3,1,22
4:00PM - 4:59PM,1,9,14,11,9,7,4,55
5:00PM - 5:59PM,8,16,23,15,13,8,1,84
6:00PM - 6:59PM,2,4,4,4,4,1,1,20
7:00PM - 7:59PM,1,4,5,2,1,3,0,16
8:00PM - 8:59PM,0,3,0,2,1,0,1,7
9:00PM - 9:59PM,0,6,2,1,1,0,0,10
Membership Totals:,36,125,113,102,88,79,35,578
Membership Type: PE & Rec Staff,,,,,,,,
8:00AM - 8:59AM,0,0,0,0,1,0,0,1
9:00AM - 9:59AM,1,0,1,0,0,1,0,3
10:00AM - 10:59AM,0,1,0,1,2,0,1,5
11:00AM - 11:59AM,1,1,0,2,0,1,0,5
1:00PM - 1:59PM,0,1,0,0,0,0,0,1
2:00PM - 2:59PM,0,1,0,1,0,0,1,3
4:00PM - 4:59PM,0,0,0,1,1,0,0,2
6:00PM - 6:59PM,0,0,0,0,0,1,0,1
7:00PM - 7:59PM,1,0,0,0,0,0,0,1
Membership Totals:,3,4,1,5,4,3,2,22
Membership Type: Student Off Term,,,,,,,,
7:00AM - 7:59AM,0,0,1,0,0,0,0,1
10:00AM - 10:59AM,0,1,0,1,0,0,0,2
11:00AM - 11:59AM,0,3,4,3,3,2,1,16
12:00PM - 12:59PM,1,2,0,1,0,2,1,7
1:00PM - 1:59PM,1,1,1,2,4,0,1,10
2:00PM - 2:59PM,1,2,2,1,0,2,1,9
3:00PM - 3:59PM,0,0,2,1,1,1,1,6
4:00PM - 4:59PM,0,1,2,2,3,1,2,11
